gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
COX7A1,ENSG00000161281,protein_coding,36643329,-,chr19,1.860247727055505,3.295605488588061,2.0240004635638664
COX7A2,ENSG00000112695,protein_coding,75953484,-,chr6,6.106601673506074,7.619974161472624,6.3025749548933065
COX7A2L,ENSG00000115944,protein_coding,42588338,-,chr2,4.616592950978604,6.039903854685814,4.818615408611809
COX7B,ENSG00000131174,protein_coding,77154953,+,chrX,5.691958424601978,7.16380060395775,5.8882366948844105
COX7B2,ENSG00000170516,protein_coding,46911255,-,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
COX7C,ENSG00000127184,protein_coding,85913736,+,chr5,6.708805243819538,8.169443020721836,6.85633214728365
COX8A,ENSG00000176340,protein_coding,63742050,+,chr11,7.765542039380136,9.255082876465895,7.964724957681495
COX8C,ENSG00000187581,protein_coding,93813510,+,chr14,-2.5640514351394663,-1.197930891195452,-2.394410848688886
CP,ENSG00000047457,protein_coding,148939598,-,chr3,4.970241667285462,6.541325879135812,5.200386645520564
CPA1,ENSG00000091704,protein_coding,130020328,+,chr7,-3.414268267034073,-1.9077925619029112,-3.2460532279122347
CPA2,ENSG00000158516,protein_coding,129906687,+,chr7,-3.2068948519411222,-1.8277685311745189,-3.048113850300326
CPA3,ENSG00000163751,protein_coding,148583075,+,chr3,-2.414268267034073,-1.0206331138782188,-2.261188937029684
CPA4,ENSG00000128510,protein_coding,129932994,+,chr7,-1.0954195650786824,0.3500445658626943,-0.9031984181508316
CPA5,ENSG00000158525,protein_coding,129984650,+,chr7,-3.712173132714919,-2.2954821145835616,-3.5294891648227247
CPA6,ENSG00000165078,protein_coding,68658582,-,chr8,-4.917024972742232,-3.611755346607701,-4.752437002928646
CPAMD8,ENSG00000160111,protein_coding,17007740,-,chr19,1.053806443695794,2.4921351957777347,1.2287879126733772
CPB1,ENSG00000153002,protein_coding,148545586,+,chr3,-4.583808806104786,-3.2919452286716475,-4.374823043319488
CPB2,ENSG00000080618,protein_coding,46679144,-,chr13,-4.783886641553699,-3.5096352500140915,-4.5907448533151625
CPD,ENSG00000108582,protein_coding,28705921,+,chr17,2.3927570342823947,3.913454331026004,2.580531438155187
CPE,ENSG00000109472,protein_coding,166300204,+,chr4,4.25876010748294,5.728334149293234,4.412761205546915
CPEB1,ENSG00000214575,protein_coding,83240783,-,chr15,-3.863546090731349,-2.3989691306511904,-3.756330919033137
CPEB2,ENSG00000137449,protein_coding,15004067,+,chr4,1.010923027184792,2.455964988917518,1.135994462696845
CPEB3,ENSG00000107864,protein_coding,94050820,-,chr10,-0.0952654392261894,1.3994445645894578,0.0553345017510994
CPEB4,ENSG00000113742,protein_coding,173315338,+,chr5,0.9188441601892464,2.401439332325261,1.1428055100858352
CPLX1,ENSG00000168993,protein_coding,819901,-,chr4,1.7481606402243486,3.176865277169127,1.945270585516352
CPLX2,ENSG00000145920,protein_coding,175298573,+,chr5,-1.9793733494100425,-0.4117710910518953,-1.7587699644845547
CPLX3,ENSG00000213578,protein_coding,75118944,+,chr15,-7.643856189774724,-7.643856189774724,-7.643856189774724
CPLX4,ENSG00000166569,protein_coding,56985818,-,chr18,-6.828280760912151,-6.030324536856798,-6.764150423492437
CPM,ENSG00000135678,protein_coding,69326940,-,chr12,1.4746696591609434,2.991571730149845,1.6750932738202922
CPN1,ENSG00000120054,protein_coding,101841588,-,chr10,-7.643856189774724,-7.643856189774724,-7.643856189774724
CPN2,ENSG00000178772,protein_coding,194072019,-,chr3,-5.956795501434833,-4.895394956770689,-5.803896602285193
CPNE1,ENSG00000214078,protein_coding,34252809,-,chr20,5.511066321061898,6.961298037038848,5.686228770679199
CPNE2,ENSG00000140848,protein_coding,57126482,+,chr16,3.07435129404382,4.526175256593475,3.2293110463792134
CPNE3,ENSG00000085719,protein_coding,87526645,+,chr8,4.0636151092108,5.47157442541511,4.228680185123592
CPNE4,ENSG00000196353,protein_coding,131753848,-,chr3,-2.3974481025283403,-1.0218043703183484,-2.1791879227712805
CPNE5,ENSG00000124772,protein_coding,36807762,-,chr6,-0.5642647411265316,0.980537192445043,-0.4223657347326695
CPNE6,ENSG00000100884,protein_coding,24540761,+,chr14,-5.299027692777283,-3.930160374931366,-5.137965260044767
CPNE7,ENSG00000178773,protein_coding,89642120,+,chr16,-0.7863727614880526,0.6117389574989456,-0.5790595438629198
CPNE8,ENSG00000139117,protein_coding,39299386,-,chr12,-0.5775516877665356,0.9119599652869148,-0.4219791086976908
CPNE9,ENSG00000144550,protein_coding,9745510,+,chr3,-3.161007906706259,-1.712645914970793,-2.9590374522215024
CPO,ENSG00000144410,protein_coding,207804239,+,chr2,-3.0794780212096606,-1.5933544923279974,-2.914847319436862
CPOX,ENSG00000080819,protein_coding,98312434,-,chr3,2.4538072743716777,3.939311218370248,2.651407655589246
CPPED1,ENSG00000103381,protein_coding,12897642,-,chr16,2.1364210965082946,3.635220390838109,2.3100783175170387
CPS1,ENSG00000021826,protein_coding,211421314,+,chr2,-3.0034666297197794,-1.5627722610870902,-2.861447624847352
CPSF1,ENSG00000071894,protein_coding,145634666,-,chr8,4.914373171939725,6.40290632151374,5.0542190052117695
CPSF2,ENSG00000165934,protein_coding,92588298,+,chr14,1.9439213265534856,3.391259058301019,2.09531684153477
CPSF3,ENSG00000119203,protein_coding,9563769,+,chr2,3.8293929385270986,5.289270110583447,4.0384976388748735
CPSF4,ENSG00000160917,protein_coding,99036543,+,chr7,2.631383711969866,4.103975940962778,2.8133194549222047
CPSF4L,ENSG00000187959,protein_coding,71258541,-,chr17,-2.422752464406849,-1.0063618645684136,-2.2209504471625414
CPSF6,ENSG00000111605,protein_coding,69633341,+,chr12,3.2987462820924467,4.785372688595218,3.4753183938228376
CPSF7,ENSG00000149532,protein_coding,61197406,-,chr11,4.242168031547195,5.751843947815582,4.429234319214765
CPT1A,ENSG00000110090,protein_coding,68609300,-,chr11,3.3343251364667243,4.756969891414316,3.4991187768802257
CPT1B,ENSG00000205560,protein_coding,51016848,-,chr22,-3.2976084156919496,-1.9121298670589428,-3.077041035763828
CPT1C,ENSG00000169169,protein_coding,50194360,+,chr19,0.0855606248726255,1.613531652917927,0.2739335692668851
CPT2,ENSG00000157184,protein_coding,53662457,+,chr1,0.666665710594598,2.108725165604437,0.8009102510583519
CPVL,ENSG00000106066,protein_coding,29186008,-,chr7,2.959250839890187,4.44931044930764,3.1533189524004763
CPXCR1,ENSG00000147183,protein_coding,88002218,+,chrX,-7.643856189774724,-7.643856189774724,-7.643856189774724
CPXM1,ENSG00000088882,protein_coding,2781222,-,chr20,5.355382813341191,6.732589401013178,5.512549275762273
CPXM2,ENSG00000121898,protein_coding,125651258,-,chr10,0.8201585347301645,2.34633288632379,0.8943715499612751
CPZ,ENSG00000109625,protein_coding,8594477,+,chr4,-2.961282892427146,-1.547088335060036,-2.7651308482946195
CR1,ENSG00000203710,protein_coding,207669574,+,chr1,-2.710283551513701,-1.2256662418289588,-2.571750389294305
CR1L,ENSG00000197721,protein_coding,207818460,+,chr1,-3.475535074035002,-2.0941870190482343,-3.282087830355571
CR2,ENSG00000117322,protein_coding,207627665,+,chr1,-2.764150423492437,-1.2412704315421377,-2.575185379109626
CRABP1,ENSG00000166426,protein_coding,78632686,+,chr15,3.9395839155536025,5.409954325828259,4.166763641100374
CRABP2,ENSG00000143320,protein_coding,156675368,-,chr1,8.833184850653554,10.352420552395431,9.027133865223751
CRADD,ENSG00000169372,protein_coding,94071129,+,chr12,0.4244921708892051,1.9322879923549583,0.576183494145623
CRAT,ENSG00000095321,protein_coding,131872928,-,chr9,3.0892269420703955,4.543180336711278,3.2655419137043493
CRB1,ENSG00000134376,protein_coding,197170611,+,chr1,-5.717856771218502,-4.512925319948277,-5.587272661408358
CRB2,ENSG00000148204,protein_coding,126118469,+,chr9,2.003782112628423,3.4624188372184315,2.24376046500504
CRB3,ENSG00000130545,protein_coding,6464243,+,chr19,3.694757642069552,5.1802552952817775,3.887934626117676
CRBN,ENSG00000113851,protein_coding,3221368,-,chr3,1.848718073798604,3.338809462417688,2.0201643566082224
CRCP,ENSG00000241258,protein_coding,65579799,+,chr7,3.259664183948652,4.706961473289234,3.453530748439197
CRCT1,ENSG00000169509,protein_coding,152486950,+,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
CREB1,ENSG00000118260,protein_coding,208394658,+,chr2,1.9389255930004927,3.3822522280384666,2.121380174278172
CREB3,ENSG00000107175,protein_coding,35732592,+,chr9,5.099724413805609,6.589714058255816,5.272911532015937
CREB3L1,ENSG00000157613,protein_coding,46299199,+,chr11,2.781716408563383,4.227109527543216,2.932004460518091
CREB3L2,ENSG00000182158,protein_coding,137686791,-,chr7,2.9862834991470715,4.401992187118302,3.172391503328623
CREB3L3,ENSG00000060566,protein_coding,4153613,+,chr19,-6.276485124126196,-5.194955238629597,-6.210896782498619
CREB3L4,ENSG00000143578,protein_coding,153940354,+,chr1,3.1639012138145426,4.631459381507986,3.304438029079813
CREB5,ENSG00000146592,protein_coding,28725740,+,chr7,-0.7769482116315585,0.6751836257878112,-0.5749704524737145
CREBBP,ENSG00000005339,protein_coding,3930681,-,chr16,3.254699852913235,4.7188109426524365,3.398035635847494
CREBL2,ENSG00000111269,protein_coding,12764773,+,chr12,3.2877825505296943,4.766049145157489,3.5011716007424325
CREBZF,ENSG00000137504,protein_coding,85376121,-,chr11,2.709224455533852,4.160299037498155,2.896174955356189
CREG1,ENSG00000143162,protein_coding,167522982,-,chr1,5.8938863788697,7.35605399120978,6.082034047055576
CREG2,ENSG00000175874,protein_coding,102003915,-,chr2,-4.629500896797655,-3.259806382979565,-4.499809820158018
CRELD1,ENSG00000163703,protein_coding,9975497,+,chr3,-0.0241497397288343,1.4668620037759177,0.191057239926314
CRELD2,ENSG00000184164,protein_coding,50312316,+,chr22,2.0616034093906768,3.5512945207899884,2.279144386406188
CREM,ENSG00000095794,protein_coding,35484053,+,chr10,1.9710744581121904,3.4017260242194705,2.177216200836064
CRH,ENSG00000147571,protein_coding,67090690,-,chr8,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRHBP,ENSG00000145708,protein_coding,76248861,+,chr5,-3.5631985264294994,-2.1488006614067063,-3.4004917640810643
CRHR1,ENSG00000120088,protein_coding,43861680,+,chr17,-6.878321443411748,-6.1177873781071375,-6.811978948583052
CRHR2,ENSG00000106113,protein_coding,30722089,-,chr7,-4.013916780335185,-2.535331732996556,-3.844768883700721
CRIM1,ENSG00000150938,protein_coding,36582857,+,chr2,3.107453537864989,4.562046998323957,3.330658782873252
CRIP1,ENSG00000213145,protein_coding,105953526,+,chr14,0.5274707504585804,2.018705381416324,0.6857159359906513
CRIP2,ENSG00000182809,protein_coding,105941118,+,chr14,6.299958940344253,7.752642900491822,6.511368410937229
CRIP3,ENSG00000146215,protein_coding,43276547,-,chr6,-2.277184273662965,-0.864859183605185,-2.107803289534515
CRIPT,ENSG00000119878,protein_coding,46844319,+,chr2,2.6041662346942487,4.065572311593622,2.754267544441741
CRISP1,ENSG00000124812,protein_coding,49834166,-,chr6,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRISP2,ENSG00000124490,protein_coding,49681235,-,chr6,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRISP3,ENSG00000096006,protein_coding,49712091,-,chr6,-1.7197563041339832,-0.2529134169721817,-1.5942254220501242
CRISPLD1,ENSG00000121005,protein_coding,75896731,+,chr8,0.63876894441695,2.102120589541717,0.8693976665584529
CRISPLD2,ENSG00000103196,protein_coding,84853580,+,chr16,1.1842802944193824,2.6749577352584555,1.4107209968534309
CRK,ENSG00000167193,protein_coding,1359497,-,chr17,4.051781010394257,5.517540268038472,4.2486714485189605
CRKL,ENSG00000099942,protein_coding,21271716,+,chr22,3.736680633754864,5.209098496991367,3.918634295599526
CRLF1,ENSG00000006016,protein_coding,18717589,-,chr19,-1.4115791795064323,0.0963968041871571,-1.190667880226499
CRLF2,ENSG00000205755,protein_coding,1331535,-,chrX,-5.9213901653036345,-4.768076126706237,-5.787866492466244
CRLF3,ENSG00000176390,protein_coding,29151686,-,chr17,1.5580716689588727,3.028233191442752,1.7296180246905646
CRLS1,ENSG00000088766,protein_coding,5986756,+,chr20,0.6569081834733373,2.1292500406814447,0.8120463497208835
CRMP1,ENSG00000072832,protein_coding,5890145,-,chr4,1.2012574568432413,2.6751610383264093,1.44895379614947
CRNKL1,ENSG00000101343,protein_coding,20033052,-,chr20,2.957153130059557,4.486810892663727,3.15950002202322
CRNN,ENSG00000143536,protein_coding,152386732,-,chr1,-5.861447624847352,-4.6766875822420975,-5.7027498788282935
CROCC,ENSG00000058453,protein_coding,17248418,+,chr1,1.47487728599312,2.9769867747262806,1.6914448311911376
CROT,ENSG00000005469,protein_coding,86974974,+,chr7,0.910886131935597,2.3265085859903905,1.0970039280998882
CRP,ENSG00000132693,protein_coding,159684371,-,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRTAC1,ENSG00000095713,protein_coding,99790370,-,chr10,2.459195521949441,3.948666253169315,2.693721115082093
CRTAM,ENSG00000109943,protein_coding,122735321,+,chr11,-2.205563338195578,-0.8598757760909294,-1.9959660987155103
CRTAP,ENSG00000170275,protein_coding,33155525,+,chr3,4.91276960553228,6.373437672456422,5.064973361998063
CRTC1,ENSG00000105662,protein_coding,18794470,+,chr19,2.9229779869884074,4.396728068546443,3.077037861831247
CRTC2,ENSG00000160741,protein_coding,153931053,-,chr1,4.443573500932962,5.90823167848962,4.639758893923168
CRTC3,ENSG00000140577,protein_coding,91073111,+,chr15,2.124261954812696,3.5702929064404527,2.308593868584276
CRX,ENSG00000105392,protein_coding,48325184,+,chr19,-6.687799537362322,-5.853084151912724,-6.601211852366231
CRY1,ENSG00000008405,protein_coding,107487303,-,chr12,2.108156418059356,3.565719019952173,2.263965845635964
CRY2,ENSG00000121671,protein_coding,45869019,+,chr11,1.941068740273872,3.411331328456725,2.1102964194394778
CRYAA,ENSG00000160202,protein_coding,44589135,+,chr21,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRYAB,ENSG00000109846,protein_coding,111782484,-,chr11,3.600971421631372,5.066605884204436,3.827788544822656
CRYBA1,ENSG00000108255,protein_coding,27573875,+,chr17,-5.039784866105864,-3.746615764199925,-4.943416471633633
CRYBA2,ENSG00000163499,protein_coding,219858142,-,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRYBA4,ENSG00000196431,protein_coding,27017921,+,chr22,-5.1127866970487705,-3.861447624847352,-4.997693532616831
CRYBB1,ENSG00000100122,protein_coding,27013990,-,chr22,-1.1155974470163128,0.3449420905600278,-0.9442490358815468
CRYBB2,ENSG00000244752,protein_coding,25615600,+,chr22,-2.5311560570253624,-1.0703604742791153,-2.369594528517677
CRYBB3,ENSG00000100053,protein_coding,25595823,+,chr22,-1.0649174766813383,0.4683226439478675,-0.8862995008352718
CRYBG3,ENSG00000080200,protein_coding,97540876,+,chr3,-1.0332742312821932,0.4468914052920558,-0.8717065989901825
CRYGA,ENSG00000168582,protein_coding,209028312,-,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRYGB,ENSG00000182187,protein_coding,209010874,-,chr2,-3.656535323845471,-2.355497627581064,-3.435963338133392
CRYGC,ENSG00000163254,protein_coding,208994548,-,chr2,-3.2877123795494496,-1.8385637341740129,-3.097887820669432
CRYGD,ENSG00000118231,protein_coding,208989237,-,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
CRYGN,ENSG00000127377,protein_coding,151137211,-,chr7,-1.7345631039509015,-0.2942432179502027,-1.602963759127824
CRYGS,ENSG00000213139,protein_coding,186262166,-,chr3,-0.6458864075076233,0.8675802222025046,-0.4639470997597903
CRYL1,ENSG00000165475,protein_coding,21099935,-,chr13,1.6707950243961112,3.137011612041735,1.8749149729365528
CRYM,ENSG00000103316,protein_coding,21289603,-,chr16,-3.89539495677069,-2.4819685073978306,-3.7254699553283768
CRYZ,ENSG00000116791,protein_coding,75198681,-,chr1,2.9957558466608143,4.431469188840554,3.1418414748335866
CRYZL1,ENSG00000205758,protein_coding,35014031,-,chr21,1.6790183632106137,3.1544373898143925,1.8582993478713783
CS,ENSG00000062485,protein_coding,56694083,-,chr12,5.068236561172163,6.58579631778964,5.242793023597252
CSAD,ENSG00000139631,protein_coding,53574418,-,chr12,2.035095997896732,3.50401013681651,2.1746940339737346
CSDC2,ENSG00000172346,protein_coding,41957064,+,chr22,0.3478923881953377,1.7990873060740036,0.4730075679161738
CSDE1,ENSG00000009307,protein_coding,115300592,-,chr1,6.305990578536376,7.781145260641802,6.456429987758794
CSE1L,ENSG00000124207,protein_coding,47662805,+,chr20,5.473082273262977,6.932188762550344,5.641563369067943
CSF1,ENSG00000184371,protein_coding,110453462,+,chr1,4.261756453756114,5.721405472485943,4.462287948470904
CSF1R,ENSG00000182578,protein_coding,149466042,-,chr5,3.2750815649473126,4.752973326097087,3.5189127584165805
CSF2,ENSG00000164400,protein_coding,131409476,+,chr5,-4.783886641553699,-3.3883554566263383,-4.64025395309453
CSF2RA,ENSG00000198223,protein_coding,1387700,+,chrX,0.3802861561230782,1.8754655448547093,0.6194599649206011
CSF2RB,ENSG00000100368,protein_coding,37309662,+,chr22,-0.0782590139204995,1.391492789980722,0.1247251523988882
CSF3,ENSG00000108342,protein_coding,38171681,+,chr17,-5.310432456049533,-4.016249351645075,-5.122805452873762
CSF3R,ENSG00000119535,protein_coding,36948505,-,chr1,0.6049252981992379,2.0688083674006044,0.7433857078136662
CSGALNACT1,ENSG00000147408,protein_coding,19614724,-,chr8,-0.6583557594698397,0.8470347891195663,-0.4441838449383603
CSGALNACT2,ENSG00000169826,protein_coding,43633883,+,chr10,2.538662314487494,3.993447932331476,2.70458428185619
CSH1,ENSG00000136488,protein_coding,61973889,-,chr17,-7.643856189774724,-7.643856189774724,-7.643856189774724
CSH2,ENSG00000213218,protein_coding,61950617,-,chr17,-6.321928094887362,-5.248793390257147,-6.20024953829911
CSHL1,ENSG00000204414,protein_coding,61988610,-,chr17,-7.643856189774724,-7.643856189774724,-7.643856189774724
CSK,ENSG00000103653,protein_coding,75074410,+,chr15,4.22315993700161,5.74493875696004,4.424445140908708
CSMD1,ENSG00000183117,protein_coding,4852276,-,chr8,-6.733123527871812,-5.904008087075397,-6.6152870375779536
CSMD2,ENSG00000121904,protein_coding,34630820,-,chr1,-2.494922085248385,-1.1159100908664668,-2.3168874781868323
CSMD3,ENSG00000164796,protein_coding,114449161,-,chr8,-6.89539495677069,-6.088040034713085,-6.811978948583052
CSN1S1,ENSG00000126545,protein_coding,70796784,+,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
CSN3,ENSG00000171209,protein_coding,71108300,+,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
CSNK1A1,ENSG00000113712,protein_coding,148930978,-,chr5,2.9768951535174013,4.466620594947411,3.1497471195046827
CSNK1A1L,ENSG00000180138,protein_coding,37678950,-,chr13,-5.608232280044004,-4.359934417467108,-5.50635266602479
CSNK1D,ENSG00000141551,protein_coding,80231300,-,chr17,3.495017141293044,4.967860271169155,3.66751749802358
CSNK1E,ENSG00000213923,protein_coding,38713428,-,chr22,2.752127713668873,4.255394981992159,2.97812239457207
CSNK1G1,ENSG00000169118,protein_coding,64648273,-,chr15,1.6525094401836642,3.1122163735460533,1.842214553960944
CSNK1G2,ENSG00000133275,protein_coding,1941117,+,chr19,4.265766925798586,5.761686852700374,4.406903963753376
CSNK1G3,ENSG00000151292,protein_coding,122847908,+,chr5,2.5944291162094286,4.032092024710727,2.806922048611073
CSNK2A1,ENSG00000101266,protein_coding,524415,-,chr20,2.652624161037505,4.117296085657242,2.7917932378700203
CSNK2A2,ENSG00000070770,protein_coding,58231964,-,chr16,1.4303388042681486,2.8790587606744102,1.6251769566805123
CSNK2B,ENSG00000204435,protein_coding,31633833,+,chr6,2.071110495135052,3.576546323720136,2.2500823528151286
CSPG4,ENSG00000173546,protein_coding,76005170,-,chr15,0.5899551945184317,2.060808317036086,0.7435580522220528
CSPG5,ENSG00000114646,protein_coding,47620323,-,chr3,0.9160944229383582,2.354677828504453,1.1200200956159982
CSPP1,ENSG00000104218,protein_coding,67976593,+,chr8,-0.6411536693949014,0.8408458875620731,-0.4538340149720796
CSRNP1,ENSG00000144655,protein_coding,39195075,-,chr3,3.387803664533329,4.870359787284236,3.596267294259297
CSRNP2,ENSG00000110925,protein_coding,51477368,-,chr12,3.2246268674011342,4.691366659641126,3.4067815429602035
CSRNP3,ENSG00000178662,protein_coding,166326200,+,chr2,-0.8056607505155369,0.6072000953975163,-0.5812163614882614
CSRP1,ENSG00000159176,protein_coding,201476220,-,chr1,4.971736666736236,6.454853642674149,5.181758533574264
CSRP2,ENSG00000175183,protein_coding,77272786,-,chr12,1.2544126366107604,2.7677395355455787,1.4822803843529866
CSRP3,ENSG00000129170,protein_coding,19223523,-,chr11,-5.553002759323611,-4.316168825598678,-5.374823043319489
CST1,ENSG00000170373,protein_coding,23731397,-,chr20,1.605399510161858,3.0652448591725454,1.779217689314648
CST11,ENSG00000125831,protein_coding,23433502,-,chr20,-7.643856189774724,-7.643856189774724,-7.643856189774724
CST2,ENSG00000170369,protein_coding,23807358,-,chr20,-1.1966076211729495,0.2327835341224529,-0.9537184967880896
CST3,ENSG00000101439,protein_coding,23618584,-,chr20,7.397395692072266,8.838445386398291,7.580920302714079
CST4,ENSG00000101441,protein_coding,23669590,-,chr20,-2.7427479467602125,-1.2276920250415968,-2.4763376860395074
CST5,ENSG00000170367,protein_coding,23860373,-,chr20,-0.6522209732977382,0.862272841186562,-0.496142467422571
CST6,ENSG00000175315,protein_coding,65779425,+,chr11,2.203764966018656,3.712463719936993,2.4044671967630893
CST7,ENSG00000077984,protein_coding,24929892,+,chr20,2.5125303136829573,3.961150995217395,2.6397183830059063
CST8,ENSG00000125815,protein_coding,23471727,+,chr20,-7.643856189774724,-7.643856189774724,-7.643856189774724
CST9,ENSG00000173335,protein_coding,23586553,-,chr20,-4.717856771218502,-3.392894616241506,-4.509635250014092
CST9L,ENSG00000101435,protein_coding,23549111,-,chr20,-7.643856189774724,-7.643856189774724,-7.643856189774724
CSTA,ENSG00000121552,protein_coding,122044084,+,chr3,1.1326426425396188,2.6174630573077065,1.3173040683619148
CSTB,ENSG00000160213,protein_coding,45196166,-,chr21,5.56022582239965,7.044048705562636,5.759794995757513
CSTF1,ENSG00000101138,protein_coding,54967663,+,chr20,3.576110917279488,5.030786298487664,3.7501240967254335
CSTF2,ENSG00000101811,protein_coding,100075368,+,chrX,2.684078128572771,4.185303625900115,2.8639780843586973
CSTF2T,ENSG00000177613,protein_coding,53459319,-,chr10,3.1380444329761263,4.647210880483255,3.352786768598177
CSTF3,ENSG00000176102,protein_coding,33183007,-,chr11,2.686366056135999,4.1947174628936,2.898092235559008
CT45A5,ENSG00000228836,protein_coding,134975521,-,chrX,-6.417347659966045,-5.519528054772524,-6.23242994404826
CTAGE1,ENSG00000212710,protein_coding,19997911,-,chr18,-6.148161027150656,-5.063710705351345,-6.039784866105864
CTBP1,ENSG00000159692,protein_coding,1242871,-,chr4,3.727659112546745,5.217211325027974,3.91537748457401
CTBP2,ENSG00000175029,protein_coding,126849588,-,chr10,3.319314450801263,4.778508230470555,3.513465479254071
CTBS,ENSG00000117151,protein_coding,85040090,-,chr1,-0.4140760230413985,1.107553970289646,-0.2179269845661475
CTC1,ENSG00000178971,protein_coding,8151353,-,chr17,1.2166100687424417,2.7270709198590906,1.4049576035575306
CTCF,ENSG00000102974,protein_coding,67596417,+,chr16,2.581471768036053,4.085322671377518,2.742502119436521
CTCFL,ENSG00000124092,protein_coding,56100179,-,chr20,0.72194131268466,2.231708878024086,0.899639693651047
CTDNEP1,ENSG00000175826,protein_coding,7155274,-,chr17,4.092909329292393,5.595229130860688,4.282899377701854
CTDP1,ENSG00000060069,protein_coding,77439775,+,chr18,2.115066545771484,3.630824798629845,2.34212801783086
CTDSP1,ENSG00000144579,protein_coding,219264562,+,chr2,5.384485037056233,6.8557630129798754,5.545341376944303
CTDSP2,ENSG00000175215,protein_coding,58240470,-,chr12,6.006661569561014,7.511502828503571,6.148557930089739
CTDSPL,ENSG00000144677,protein_coding,37903339,+,chr3,3.4513298201403333,4.908433454020143,3.601042758598351
CTDSPL2,ENSG00000137770,protein_coding,44719790,+,chr15,2.1304696607121048,3.581519973564021,2.259543673148691
CTF1,ENSG00000150281,protein_coding,30907927,+,chr16,3.392825711480894,4.8898336845969785,3.592289585224479
CTH,ENSG00000116761,protein_coding,70876926,+,chr1,0.5595407587713905,2.0572769650732474,0.7571939695466375
CTHRC1,ENSG00000164932,protein_coding,104383759,+,chr8,4.616351815155603,6.183609578958002,4.848262378091016
CTIF,ENSG00000134030,protein_coding,46065393,+,chr18,1.6961273898000455,3.153772915601481,1.870660626679281
CTLA4,ENSG00000163599,protein_coding,204732487,+,chr2,-1.768567591552035,-0.3031159091445455,-1.5513104482311597
CTNNA1,ENSG00000044115,protein_coding,138089100,+,chr5,5.262805209510442,6.739833254526503,5.474033616044175
CTNNA2,ENSG00000066032,protein_coding,79740118,+,chr2,-0.9988463053836298,0.4289999257630038,-0.8510008374122358
CTNNA3,ENSG00000183230,protein_coding,69425399,-,chr10,-5.532824877385981,-4.30471880485514,-5.351074440546879
CTNNAL1,ENSG00000119326,protein_coding,111775772,-,chr9,3.22684758495226,4.718038250839816,3.421909973094829
CTNNB1,ENSG00000168036,protein_coding,41240986,+,chr3,4.788393383885189,6.270495304021286,4.935403170419808
CTNNBIP1,ENSG00000178585,protein_coding,9970227,-,chr1,3.390929019686076,4.868869460888662,3.6048897260176256
CTNNBL1,ENSG00000132792,protein_coding,36322424,+,chr20,3.153708072460615,4.661168118490738,3.3543252068577383
CTNND1,ENSG00000198561,protein_coding,57529259,+,chr11,0.6243348894450881,2.0861383485879044,0.805375010894768
CTNND2,ENSG00000169862,protein_coding,11385014,-,chr5,-2.385337265063424,-0.9612828924271462,-2.33133622229978
CTNS,ENSG00000040531,protein_coding,3540043,+,chr17,1.7797639975756887,3.2505978230482344,1.948974554279771
CTPS2,ENSG00000047230,protein_coding,16730688,-,chrX,2.5559633613309263,4.092900874803969,2.7256102938759983
CTR9,ENSG00000198730,protein_coding,10772750,+,chr11,2.772286858073167,4.220670465023711,2.951811566762708
CTRB1,ENSG00000168925,protein_coding,75252878,+,chr16,-5.417347659966045,-4.120294233717712,-5.259806382979566
CTRB2,ENSG00000168928,protein_coding,75241050,-,chr16,-6.097887820669432,-5.035046947099201,-5.947862376664825
CTRC,ENSG00000162438,protein_coding,15764931,+,chr1,-5.265344566520995,-3.981650690121108,-5.132894270497346
CTRL,ENSG00000141086,protein_coding,67965756,-,chr16,-7.643856189774724,-7.643856189774724,-7.643856189774724
CTSA,ENSG00000064601,protein_coding,44519948,+,chr20,4.201680904806146,5.672829805644135,4.412713791586926
CTSB,ENSG00000164733,protein_coding,11725589,-,chr8,6.841936648664797,8.32371412737364,7.06485375774607
CTSC,ENSG00000109861,protein_coding,88070896,-,chr11,2.1880210514169485,3.651361729632539,2.393855477339029
CTSD,ENSG00000117984,protein_coding,1785139,-,chr11,5.515747138985376,6.993057258039007,5.664747348131968
CTSF,ENSG00000174080,protein_coding,66335995,-,chr11,4.498704032401243,5.999932372084917,4.673822099631743
CTSG,ENSG00000100448,protein_coding,25045446,-,chr14,-4.512925319948277,-3.069754681685336,-4.368849142274855
CTSH,ENSG00000103811,protein_coding,79237334,-,chr15,2.4178120176146103,3.851908915644173,2.581303036002641
CTSK,ENSG00000143387,protein_coding,150780727,-,chr1,1.7800580778983743,3.197094783915132,2.027932528648503
