gene,gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
ENSG00000214253,FIS1,ENSG00000214253.9,protein_coding,100888337,-,chr7,5.684280150548129,7.192951618069849,5.880301049184866
ENSG00000197296,FITM2,ENSG00000197296.6,protein_coding,42939782,-,chr20,1.4083857914064135,3.00812828613476,1.5883248679119155
ENSG00000179943,FIZ1,ENSG00000179943.8,protein_coding,56110859,-,chr19,2.352193537745032,3.790344586562428,2.5078961008975016
ENSG00000179431,FJX1,ENSG00000179431.7,protein_coding,35639997,+,chr11,4.034039594353639,5.499319725552351,4.204492894260526
ENSG00000141756,FKBP10,ENSG00000141756.19,protein_coding,39969232,+,chr17,5.418699322350981,6.89066799271333,5.561564427263116
ENSG00000134285,FKBP11,ENSG00000134285.11,protein_coding,49319265,-,chr12,2.2552590048286505,3.732996334270232,2.4421738532373096
ENSG00000106080,FKBP14,ENSG00000106080.11,protein_coding,30066233,-,chr7,1.053528440989299,2.5270453058881683,1.245130531411833
ENSG00000119321,FKBP15,ENSG00000119321.9,protein_coding,115983523,-,chr9,1.66234224151817,3.1110981022797723,1.846352900855114
ENSG00000088832,FKBP1A,ENSG00000088832.18,protein_coding,1373726,-,chr20,5.916232989932915,7.395295058836606,6.122041090928397
ENSG00000119782,FKBP1B,ENSG00000119782.14,protein_coding,24272576,+,chr2,0.6401581549632809,2.097813029419907,0.7813177436039046
ENSG00000198225,FKBP1C,ENSG00000198225.5,protein_coding,63921360,+,chr6,0.4472088881558103,1.9229970094898208,0.6088092426755238
ENSG00000173486,FKBP2,ENSG00000173486.14,protein_coding,64008525,+,chr11,-1.748553568441418,-0.3170671972827844,-1.579490649511097
ENSG00000100442,FKBP3,ENSG00000100442.11,protein_coding,45603657,-,chr14,3.816906848084003,5.333115983211156,4.049735307055895
ENSG00000004478,FKBP4,ENSG00000004478.8,protein_coding,2904127,+,chr12,5.1746341188178615,6.601326585340537,5.385372361800125
ENSG00000096060,FKBP5,ENSG00000096060.15,protein_coding,35656685,-,chr6,1.888967244915494,3.336897473853008,2.0958906723514064
ENSG00000077800,FKBP6,ENSG00000077800.13,protein_coding,72742178,+,chr7,-6.011587974275212,-4.869859864663551,-5.9213901653036345
ENSG00000079150,FKBP7,ENSG00000079150.18,protein_coding,179343268,-,chr2,1.9977982107713208,3.4969735809982767,2.2245342632797294
ENSG00000105701,FKBP8,ENSG00000105701.16,protein_coding,18654366,-,chr19,7.058164944034311,8.533145927869109,7.210531085095543
ENSG00000122642,FKBP9,ENSG00000122642.11,protein_coding,32996997,+,chr7,4.674861721072301,6.185557363246168,4.844330410906765
ENSG00000204315,FKBPL,ENSG00000204315.4,protein_coding,32098013,-,chr6,2.8261518505235776,4.258270162741396,3.026569917853028
ENSG00000181027,FKRP,ENSG00000181027.11,protein_coding,47249302,+,chr19,1.5055861028018471,3.024284214279646,1.7095994364732707
ENSG00000106692,FKTN,ENSG00000106692.15,protein_coding,108320392,+,chr9,0.0776531856501613,1.5468080498964134,0.2804812743006235
ENSG00000160688,FLAD1,ENSG00000160688.19,protein_coding,154955797,+,chr1,4.172255475132686,5.645041597962289,4.32417694550338
ENSG00000154803,FLCN,ENSG00000154803.13,protein_coding,17140436,-,chr17,0.8502393551659095,2.3732027374392963,1.025950123608461
ENSG00000143631,FLG,ENSG00000143631.11,protein_coding,152297708,-,chr1,-4.490050853695689,-3.163591067720262,-4.279283757478869
ENSG00000143520,FLG2,ENSG00000143520.6,protein_coding,152332480,-,chr1,-7.28771237954945,-6.844768883700722,-7.243318260190997
ENSG00000151702,FLI1,ENSG00000151702.17,protein_coding,128563948,+,chr11,-0.0840584940198524,1.3968171028690377,0.1042024493824429
ENSG00000177731,FLII,ENSG00000177731.16,protein_coding,18162004,-,chr17,4.228156822570476,5.692061679461851,4.402490257527695
ENSG00000196924,FLNA,ENSG00000196924.19,protein_coding,153599578,-,chrX,6.603399352999972,8.102007701311587,6.785213116232161
ENSG00000128591,FLNC,ENSG00000128591.16,protein_coding,128470453,+,chr7,0.8012414482684586,2.21088754922081,0.95969597875237
ENSG00000137312,FLOT1,ENSG00000137312.15,protein_coding,30710447,-,chr6,6.330931215385398,7.859377618792812,6.547790658283441
ENSG00000132589,FLOT2,ENSG00000132589.16,protein_coding,27224621,-,chr17,4.992641555023223,6.462538262839656,5.182867062761349
ENSG00000125848,FLRT3,ENSG00000125848.10,protein_coding,14318211,-,chr20,0.3642362311739968,1.7032779239813731,0.5394318114348327
ENSG00000102755,FLT1,ENSG00000102755.12,protein_coding,29069256,-,chr13,0.2778657572348795,1.741617989568016,0.4414834795826446
ENSG00000122025,FLT3,ENSG00000122025.15,protein_coding,28674693,-,chr13,-3.923577724541398,-2.602963759127824,-3.7350432820351775
ENSG00000090554,FLT3LG,ENSG00000090554.13,protein_coding,49977834,+,chr19,-4.046921047387492,-2.7008725915876237,-3.921390165303634
ENSG00000037280,FLT4,ENSG00000037280.16,protein_coding,180076580,-,chr5,0.1736391635705789,1.670205845544553,0.3417580850787209
ENSG00000162769,FLVCR1,ENSG00000162769.13,protein_coding,213031609,+,chr1,1.5537045463058108,3.020199922943498,1.7540323183560396
ENSG00000119686,FLVCR2,ENSG00000119686.10,protein_coding,76044934,+,chr14,-0.6377826225128307,0.8259484047458947,-0.4485085914525055
ENSG00000059122,FLYWCH1,ENSG00000059122.17,protein_coding,2961973,+,chr16,1.793979092552413,3.2927081404602143,1.957766050955662
ENSG00000162076,FLYWCH2,ENSG00000162076.13,protein_coding,2933231,+,chr16,4.12868108145835,5.573695655173983,4.356207208516671
ENSG00000248905,FMN1,ENSG00000248905.10,protein_coding,33486907,-,chr15,-1.190667880226499,0.235481995281517,-0.9850734557618972
ENSG00000184922,FMNL1,ENSG00000184922.14,protein_coding,43299241,+,chr17,1.919721445130168,3.383427821426229,2.086681877301254
ENSG00000157827,FMNL2,ENSG00000157827.20,protein_coding,153191678,+,chr2,2.931683057059806,4.38274332765895,3.124526657357521
ENSG00000161791,FMNL3,ENSG00000161791.14,protein_coding,50101165,-,chr12,2.093458764793043,3.5337003852763247,2.248018628147839
ENSG00000010932,FMO1,ENSG00000010932.17,protein_coding,171217622,+,chr1,-0.6047177958677665,0.9293365340068886,-0.4583860437077829
ENSG00000094963,FMO2,ENSG00000094963.14,protein_coding,171154432,+,chr1,-1.3140150132440975,0.2115106628835391,-1.186721595456688
ENSG00000007933,FMO3,ENSG00000007933.13,protein_coding,171060033,+,chr1,-2.6003366961119827,-1.1056284500387248,-2.408895094935221
ENSG00000076258,FMO4,ENSG00000076258.10,protein_coding,171283311,+,chr1,1.1060132376221192,2.5614483417854794,1.2697513220483747
ENSG00000131781,FMO5,ENSG00000131781.13,protein_coding,146696912,-,chr1,-1.0,0.4051210354513206,-0.8282807609121521
ENSG00000122176,FMOD,ENSG00000122176.12,protein_coding,203320210,-,chr1,5.059251433065286,6.580786171355323,5.246442291939345
ENSG00000102081,FMR1,ENSG00000102081.15,protein_coding,146993449,+,chrX,3.2286340137110807,4.71659039494908,3.348133251796457
ENSG00000176988,FMR1NB,ENSG00000176988.9,protein_coding,147062844,+,chrX,-5.673002535434241,-4.354021724597216,-5.539519529959989
ENSG00000115414,FN1,ENSG00000115414.21,protein_coding,216300784,-,chr2,5.537221507280965,6.917722938436796,5.742626069948789
ENSG00000167363,FN3K,ENSG00000167363.14,protein_coding,80693427,+,chr17,2.924213928171997,4.4083993791121765,3.103917210752066
ENSG00000141560,FN3KRP,ENSG00000141560.15,protein_coding,80674574,+,chr17,3.437400873238805,4.965077768200722,3.644871489739841
ENSG00000187239,FNBP1,ENSG00000187239.17,protein_coding,132805430,-,chr9,3.403308629936292,4.8696493601004045,3.576437484428665
ENSG00000109920,FNBP4,ENSG00000109920.13,protein_coding,47788847,-,chr11,2.9807199670821176,4.463929742230663,3.1484460755288834
ENSG00000164694,FNDC1,ENSG00000164694.17,protein_coding,159590423,+,chr6,1.7089817688622322,3.216749737706166,1.8990595913603072
ENSG00000102531,FNDC3A,ENSG00000102531.16,protein_coding,49684445,+,chr13,2.7510994664582467,4.246833687910542,2.907390643219448
ENSG00000075420,FNDC3B,ENSG00000075420.13,protein_coding,171757346,+,chr3,2.905370155926564,4.36690966497153,3.0904300423216218
ENSG00000115226,FNDC4,ENSG00000115226.10,protein_coding,27718052,-,chr2,1.62993940943954,3.119671576459602,1.787432464516868
ENSG00000160097,FNDC5,ENSG00000160097.20,protein_coding,33336497,-,chr1,-1.0877333719335502,0.4004286303646991,-0.9143034193207538
ENSG00000143107,FNDC7,ENSG00000143107.10,protein_coding,109255524,+,chr1,-6.345197874210211,-5.316168825598678,-6.2216231890916776
ENSG00000073598,FNDC8,ENSG00000073598.6,protein_coding,33448628,+,chr17,-4.202903991745088,-2.822145974740051,-4.068543859087288
ENSG00000172568,FNDC9,ENSG00000172568.5,protein_coding,156772645,-,chr5,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000217128,FNIP1,ENSG00000217128.12,protein_coding,131132658,-,chr5,1.611219603331382,3.1196549782090464,1.7593263046785146
ENSG00000052795,FNIP2,ENSG00000052795.13,protein_coding,159690128,+,chr4,0.0556121566866925,1.4967691101704683,0.2402532615845046
ENSG00000168522,FNTA,ENSG00000168522.13,protein_coding,42911454,+,chr8,2.7460332306196027,4.188218914515998,2.91615176261925
ENSG00000257365,FNTB,ENSG00000257365.8,protein_coding,65453564,+,chr14,1.0278617753545094,2.4952346545473105,1.2300800162189078
ENSG00000110195,FOLR1,ENSG00000110195.14,protein_coding,71903170,+,chr11,7.574567795104777,9.004521616790015,7.784867097492171
ENSG00000165457,FOLR2,ENSG00000165457.14,protein_coding,71927818,+,chr11,2.710613602382677,4.147111286669799,2.8953995733874334
ENSG00000110203,FOLR3,ENSG00000110203.9,protein_coding,71825886,+,chr11,1.5534096573545446,2.997039439553843,1.752363250473027
ENSG00000170345,FOS,ENSG00000170345.10,protein_coding,75745523,+,chr14,5.628041565426445,7.106918826751073,5.864785388768232
ENSG00000125740,FOSB,ENSG00000125740.14,protein_coding,45971246,+,chr19,2.235604532763299,3.749384090852694,2.432745658843848
ENSG00000175592,FOSL1,ENSG00000175592.9,protein_coding,65667846,-,chr11,0.7227283088170345,2.2331518034392936,0.9684963089779371
ENSG00000075426,FOSL2,ENSG00000075426.12,protein_coding,28615716,+,chr2,5.239963154470058,6.6594122764801815,5.393244571610556
ENSG00000129514,FOXA1,ENSG00000129514.8,protein_coding,38064429,-,chr14,-3.3823253745313187,-2.061902438925906,-3.1923153567568927
ENSG00000125798,FOXA2,ENSG00000125798.15,protein_coding,22564895,-,chr20,0.6577314568284621,2.0144624198195054,0.8115532330335412
ENSG00000170608,FOXA3,ENSG00000170608.3,protein_coding,46367576,+,chr19,-1.0676364085651444,0.4328525370185744,-0.917569900054051
ENSG00000171956,FOXB1,ENSG00000171956.7,protein_coding,60296442,+,chr15,-4.993091630657823,-3.68965987938785,-4.820106829466452
ENSG00000054598,FOXC1,ENSG00000054598.9,protein_coding,1610293,+,chr6,1.9122666280664495,3.4523713963390543,2.1454818222655248
ENSG00000176692,FOXC2,ENSG00000176692.8,protein_coding,86600426,+,chr16,-3.0929555251272016,-1.6780719051126378,-3.027969115858668
ENSG00000186564,FOXD2,ENSG00000186564.6,protein_coding,47904001,+,chr1,-2.864596469402349,-1.400110955040741,-2.706511797624492
ENSG00000187140,FOXD3,ENSG00000187140.6,protein_coding,63788229,+,chr1,-5.34519787421021,-4.083141235300245,-5.132894270497346
ENSG00000178919,FOXE1,ENSG00000178919.9,protein_coding,100615499,+,chr9,-5.0303245368567975,-3.746615764199925,-4.869859864663551
ENSG00000186790,FOXE3,ENSG00000186790.6,protein_coding,47881953,+,chr1,-3.656535323845471,-2.196276993225842,-3.446934455954395
ENSG00000103241,FOXF1,ENSG00000103241.7,protein_coding,86544113,+,chr16,-1.6051566384691394,-0.1751099760206017,-1.3872228947148006
ENSG00000137273,FOXF2,ENSG00000137273.6,protein_coding,1389789,+,chr6,-0.8669626212526502,0.5147030095408738,-0.6524477230099361
ENSG00000176165,FOXG1,ENSG00000176165.12,protein_coding,29235961,+,chr14,-6.097887820669432,-4.925768605814208,-6.020925838854548
ENSG00000160973,FOXH1,ENSG00000160973.8,protein_coding,145701192,-,chr8,-1.5721793160228663,-0.1496006032297454,-1.4212061673232474
ENSG00000168269,FOXI1,ENSG00000168269.10,protein_coding,169532896,+,chr5,-3.859352206845158,-2.4924844135207715,-3.65835575946984
ENSG00000186766,FOXI2,ENSG00000186766.8,protein_coding,129535441,+,chr10,-5.912672948202524,-4.783886641553699,-5.756330919033138
ENSG00000129654,FOXJ1,ENSG00000129654.8,protein_coding,74137321,-,chr17,4.621477556492888,6.054661834698225,4.840417912894627
ENSG00000065970,FOXJ2,ENSG00000065970.9,protein_coding,8185288,+,chr12,2.694857911622643,4.150007187562961,2.8950311209148256
ENSG00000198815,FOXJ3,ENSG00000198815.9,protein_coding,42800860,-,chr1,3.2346852478566257,4.6952867638371805,3.416488481260799
ENSG00000164916,FOXK1,ENSG00000164916.11,protein_coding,4721885,+,chr7,2.043834419999942,3.533276774106984,2.232660756790275
ENSG00000141568,FOXK2,ENSG00000141568.21,protein_coding,80477571,+,chr17,3.231678161798511,4.678443801990095,3.4000323512668915
ENSG00000176678,FOXL1,ENSG00000176678.6,protein_coding,86612320,+,chr16,-4.556393348524385,-3.229720656790274,-4.339345147964772
ENSG00000183770,FOXL2,ENSG00000183770.7,protein_coding,138665937,-,chr3,-1.0843643765696869,0.4342412332519363,-0.97908893441831
ENSG00000111206,FOXM1,ENSG00000111206.13,protein_coding,2986275,-,chr12,3.861746981862027,5.3332483955484165,4.08115211945612
ENSG00000109101,FOXN1,ENSG00000109101.8,protein_coding,26833339,+,chr17,-1.7725053491406988,-0.3437324652057107,-1.6020875398230945
ENSG00000170802,FOXN2,ENSG00000170802.16,protein_coding,48541789,+,chr2,1.8955740706678053,3.361557834082658,2.074368421781553
ENSG00000053254,FOXN3,ENSG00000053254.16,protein_coding,90085458,-,chr14,1.7808140092968006,3.2529756967727974,1.9719941102468603
ENSG00000139445,FOXN4,ENSG00000139445.18,protein_coding,109747040,-,chr12,-2.5555449538860646,-1.071572823124315,-2.352547329945754
ENSG00000150907,FOXO1,ENSG00000150907.10,protein_coding,41240737,-,chr13,2.324061705065513,3.804363382879397,2.546487053180673
ENSG00000118689,FOXO3,ENSG00000118689.15,protein_coding,108880956,+,chr6,3.3400209788318374,4.843581923153991,3.5153213768335805
ENSG00000184481,FOXO4,ENSG00000184481.17,protein_coding,70315688,+,chrX,2.511645139336348,4.000874368852253,2.719752957077606
ENSG00000204060,FOXO6,ENSG00000204060.7,protein_coding,41827095,+,chr1,2.896097435909567,4.342049770735836,3.0814248503034207
ENSG00000114861,FOXP1,ENSG00000114861.23,protein_coding,71114066,-,chr3,-0.3668013136259963,1.134286664689047,-0.2132363788149489
ENSG00000128573,FOXP2,ENSG00000128573.26,protein_coding,113726357,+,chr7,-5.386845571568701,-4.1127866970487705,-5.227016447861895
ENSG00000164379,FOXQ1,ENSG00000164379.7,protein_coding,1312325,+,chr6,4.151103833893036,5.649960285191225,4.386721292465101
ENSG00000176302,FOXR1,ENSG00000176302.13,protein_coding,118842467,+,chr11,-4.844768883700722,-3.4819685073978306,-4.662003536484984
ENSG00000110074,FOXRED1,ENSG00000110074.11,protein_coding,126139005,+,chr11,2.407461527061142,3.916361988620269,2.593066876830957
ENSG00000100350,FOXRED2,ENSG00000100350.15,protein_coding,36903075,-,chr22,3.2917656163858093,4.791386928537044,3.5098731596627446
ENSG00000179772,FOXS1,ENSG00000179772.8,protein_coding,30433396,-,chr20,1.0961268893050062,2.603572938320076,1.259182080338187
ENSG00000136877,FPGS,ENSG00000136877.15,protein_coding,130565147,+,chr9,4.51230907100711,5.961975162221353,4.694718646472353
ENSG00000171051,FPR1,ENSG00000171051.9,protein_coding,52255107,-,chr19,0.9900109020609,2.480627043151787,1.1333662431042155
ENSG00000171049,FPR2,ENSG00000171049.9,protein_coding,52264423,+,chr19,-3.031503691022063,-1.602525582954102,-2.886832943267265
ENSG00000187474,FPR3,ENSG00000187474.5,protein_coding,52298399,+,chr19,2.415271918176969,3.843230150496546,2.637981130906372
ENSG00000148690,FRA10AC1,ENSG00000148690.12,protein_coding,95462265,-,chr10,0.9404298890972552,2.425217582070819,1.1185590712368725
ENSG00000165879,FRAT1,ENSG00000165879.9,protein_coding,99079008,+,chr10,1.282439805006387,2.7561479737029737,1.4835707400915552
ENSG00000181274,FRAT2,ENSG00000181274.7,protein_coding,99094458,-,chr10,3.814201755665209,5.31559521144692,3.9999458979215463
ENSG00000164946,FREM1,ENSG00000164946.20,protein_coding,14909966,-,chr9,-2.127210631993763,-0.625044004031908,-1.9164802511798271
ENSG00000150893,FREM2,ENSG00000150893.11,protein_coding,39261206,+,chr13,-4.380821783940931,-2.960159735468209,-4.168771306825942
ENSG00000183090,FREM3,ENSG00000183090.5,protein_coding,144622223,-,chr4,-6.299027692777284,-5.254289378011999,-6.243318260190996
ENSG00000109536,FRG1,ENSG00000109536.12,protein_coding,190861993,+,chr4,3.601232973267025,5.115079034132758,3.813534950250232
ENSG00000111816,FRK,ENSG00000111816.8,protein_coding,116381918,-,chr6,0.5747312626628445,1.9472547009680288,0.77635670083606
ENSG00000153303,FRMD1,ENSG00000153303.17,protein_coding,168479856,-,chr6,-5.006941609418846,-3.7216583413783577,-4.853084151912725
ENSG00000172159,FRMD3,ENSG00000172159.16,protein_coding,86153218,-,chr9,-0.5706786300585585,0.8820560709686263,-0.40258801244535
ENSG00000151474,FRMD4A,ENSG00000151474.23,protein_coding,13749543,-,chr10,0.1952215932528442,1.5879889836110548,0.3626662558482542
ENSG00000114541,FRMD4B,ENSG00000114541.15,protein_coding,69591727,-,chr3,1.9803543946493667,3.471278520320076,2.190899262741779
ENSG00000171877,FRMD5,ENSG00000171877.21,protein_coding,44487453,-,chr15,0.0046092532525893,1.436641591590962,0.1928254035523909
ENSG00000139926,FRMD6,ENSG00000139926.16,protein_coding,52118619,+,chr14,0.3379964635150156,1.8283878626164216,0.4897484331203353
ENSG00000165694,FRMD7,ENSG00000165694.10,protein_coding,131228251,-,chrX,-6.310432456049533,-5.243318260190996,-6.23242994404826
ENSG00000126391,FRMD8,ENSG00000126391.14,protein_coding,65154082,+,chr11,3.722750163693625,5.226396778268605,3.9187583101833168
ENSG00000070601,FRMPD1,ENSG00000070601.10,protein_coding,37650945,+,chr9,-0.5344956303704944,0.9158650414225098,-0.3755715232537282
ENSG00000170324,FRMPD2,ENSG00000170324.21,protein_coding,49482711,-,chr10,-6.158429362604484,-5.011587974275212,-6.068543859087288
ENSG00000169933,FRMPD4,ENSG00000169933.16,protein_coding,12156829,+,chrX,-7.137965260044767,-6.559791924986251,-7.097887820669433
ENSG00000156869,FRRS1,ENSG00000156869.14,protein_coding,100232177,-,chr1,0.3694944020074088,1.865602138912267,0.5437928055358767
ENSG00000166225,FRS2,ENSG00000166225.9,protein_coding,69864149,+,chr12,2.6430249580134366,4.0760887231355065,2.785697010806524
ENSG00000137218,FRS3,ENSG00000137218.10,protein_coding,41747595,-,chr6,1.5482886483852414,3.039770092833006,1.7202346801974084
ENSG00000075539,FRYL,ENSG00000075539.15,protein_coding,48782259,-,chr4,0.7256102938759981,2.211759833012118,0.908812907739547
ENSG00000162998,FRZB,ENSG00000162998.5,protein_coding,183731882,-,chr2,2.022190239634066,3.548794171465032,2.252355101388261
ENSG00000189139,FSCB,ENSG00000189139.6,protein_coding,44976474,-,chr14,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000075618,FSCN1,ENSG00000075618.18,protein_coding,5632436,+,chr7,5.423262168683349,6.94419315381024,5.63512750101653
ENSG00000186765,FSCN2,ENSG00000186765.12,protein_coding,79495397,+,chr17,-0.6938544406912261,0.8074373594188956,-0.512719470616274
ENSG00000106328,FSCN3,ENSG00000106328.10,protein_coding,127233774,+,chr7,-5.107803289534515,-3.801883070847545,-4.952322024855524
ENSG00000105255,FSD1,ENSG00000105255.11,protein_coding,4304632,+,chr19,-1.5220118918983483,-0.0846703239869905,-1.244685095954902
ENSG00000106701,FSD1L,ENSG00000106701.13,protein_coding,108210279,+,chr9,-0.7791747842021276,0.680054248245064,-0.5536378881214054
ENSG00000186628,FSD2,ENSG00000186628.12,protein_coding,83474811,-,chr15,-5.442222328605075,-4.140507454607221,-5.259806382979566
ENSG00000131808,FSHB,ENSG00000131808.11,protein_coding,30252549,+,chr11,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000170820,FSHR,ENSG00000170820.12,protein_coding,49381646,-,chr2,-6.6152870375779536,-5.608232280044004,-6.519528054772524
ENSG00000150667,FSIP1,ENSG00000150667.8,protein_coding,40074996,-,chr15,-3.221623189091677,-1.787866492466244,-3.024443179176788
ENSG00000188738,FSIP2,ENSG00000188738.15,protein_coding,186611438,+,chr2,-4.983931631372347,-3.656535323845471,-4.820106829466452
ENSG00000134363,FST,ENSG00000134363.12,protein_coding,52776449,+,chr5,1.408766198802392,2.861062085222038,1.6785677463151183
ENSG00000163430,FSTL1,ENSG00000163430.12,protein_coding,120169828,-,chr3,3.770733920146489,5.249532567644318,4.04302071965905
ENSG00000070404,FSTL3,ENSG00000070404.10,protein_coding,676385,+,chr19,2.276734861874998,3.7816534687880106,2.453096100572914
ENSG00000053108,FSTL4,ENSG00000053108.17,protein_coding,132948193,-,chr5,-1.7602353734890532,-0.3902450378275565,-1.5846739905630325
ENSG00000168843,FSTL5,ENSG00000168843.14,protein_coding,163085141,-,chr4,-5.83650126771712,-4.736965594166207,-5.673002535434241
ENSG00000167996,FTH1,ENSG00000167996.16,protein_coding,61735103,-,chr11,9.37461199135394,10.891015149536134,9.550025834832368
ENSG00000132446,FTHL17,ENSG00000132446.7,protein_coding,31090152,-,chrX,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000087086,FTL,ENSG00000087086.15,protein_coding,49468563,+,chr19,11.500573776220635,12.940850286321794,11.648718749883532
ENSG00000181867,FTMT,ENSG00000181867.3,protein_coding,121187571,+,chr5,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000140718,FTO,ENSG00000140718.21,protein_coding,53738053,+,chr16,0.903963766802978,2.38355223995426,1.1165643778033114
ENSG00000068438,FTSJ1,ENSG00000068438.15,protein_coding,48334558,+,chrX,4.121131475203111,5.55923788142626,4.272441300943671
ENSG00000108592,FTSJ3,ENSG00000108592.17,protein_coding,61904430,-,chr17,3.1520211270203515,4.637714567179243,3.3033570084230472
ENSG00000162613,FUBP1,ENSG00000162613.17,protein_coding,78444738,-,chr1,3.911087536581108,5.367147374657945,4.102733707122063
ENSG00000107164,FUBP3,ENSG00000107164.16,protein_coding,133454943,+,chr9,2.8959811489291267,4.397741365408249,3.082396035153889
ENSG00000179163,FUCA1,ENSG00000179163.12,protein_coding,24194771,-,chr1,4.631907496647555,6.110375772501019,4.82398877076354
ENSG00000001036,FUCA2,ENSG00000001036.14,protein_coding,143832820,-,chr6,3.827544683280493,5.333455936380094,4.001946324831337
ENSG00000069509,FUNDC1,ENSG00000069509.6,protein_coding,44402081,-,chrX,3.5846859576687637,4.987575543708326,3.773563873631826
ENSG00000165775,FUNDC2,ENSG00000165775.18,protein_coding,154255184,+,chrX,3.015140705158988,4.468120589926464,3.20526738223451
ENSG00000089280,FUS,ENSG00000089280.19,protein_coding,31191456,+,chr16,5.235573899368581,6.72891638692228,5.439280706162818
ENSG00000172728,FUT10,ENSG00000172728.16,protein_coding,33330595,-,chr8,0.3034593018283363,1.7535189646413751,0.4931349223055049
ENSG00000196968,FUT11,ENSG00000196968.11,protein_coding,75532028,+,chr10,1.686791838128059,3.163337708225467,1.824890023979398
ENSG00000176920,FUT2,ENSG00000176920.13,protein_coding,49199209,+,chr19,1.089159131911238,2.5445842992004355,1.2548358827857633
ENSG00000171124,FUT3,ENSG00000171124.13,protein_coding,5851442,-,chr19,-0.3168874781868324,1.0803847874146046,-0.1218632333730524
ENSG00000130383,FUT5,ENSG00000130383.7,protein_coding,5903739,-,chr19,-6.276485124126196,-5.243318260190996,-6.168771306825943
ENSG00000180549,FUT7,ENSG00000180549.8,protein_coding,139926533,-,chr9,-3.023269779322848,-1.6565353238454712,-2.8551704791611905
ENSG00000033170,FUT8,ENSG00000033170.17,protein_coding,65879437,+,chr14,3.339308445336072,4.805411127350475,3.5365005637225035
ENSG00000172461,FUT9,ENSG00000172461.11,protein_coding,96463840,+,chr6,-6.417347659966045,-5.442222328605075,-6.333516069162574
ENSG00000010361,FUZ,ENSG00000010361.14,protein_coding,50316517,-,chr19,3.0945907873103784,4.599710553237095,3.2817427541437336
ENSG00000165060,FXN,ENSG00000165060.15,protein_coding,71650645,+,chr9,0.1737670677367064,1.664528350531431,0.3444876626356819
ENSG00000114416,FXR1,ENSG00000114416.18,protein_coding,180630444,+,chr3,3.462549714092133,4.993502278633203,3.629088457898592
ENSG00000129245,FXR2,ENSG00000129245.12,protein_coding,7518145,-,chr17,2.7892701864317093,4.281357006804299,2.95886123068714
ENSG00000137731,FXYD2,ENSG00000137731.14,protein_coding,117695449,-,chr11,-4.636660688370521,-3.284897363942396,-4.496549490994431
ENSG00000150201,FXYD4,ENSG00000150201.15,protein_coding,43867077,+,chr10,-1.1087363681749238,0.471655707397641,-0.8873665830147547
ENSG00000089327,FXYD5,ENSG00000089327.15,protein_coding,35645618,+,chr19,4.673980351229854,6.084147200356527,4.883156459622361
ENSG00000137726,FXYD6,ENSG00000137726.17,protein_coding,117747327,-,chr11,0.920674411041618,2.2983943837942475,1.1610492249005566
ENSG00000221946,FXYD7,ENSG00000221946.8,protein_coding,35634146,+,chr19,-0.5006260549978325,1.0686020273786716,-0.2598063829795648
ENSG00000163820,FYCO1,ENSG00000163820.15,protein_coding,46037299,-,chr3,2.078575679579924,3.551626753295937,2.2690630775771328
ENSG00000010810,FYN,ENSG00000010810.17,protein_coding,112194622,-,chr6,2.4070535750613398,3.8756031550103063,2.5683969899161374
ENSG00000122068,FYTTD1,ENSG00000122068.13,protein_coding,197476726,+,chr3,3.478324711485028,4.918543662815489,3.654951024320245
ENSG00000157240,FZD1,ENSG00000157240.4,protein_coding,90893846,+,chr7,2.1962922857122256,3.598293735833424,2.3892088468314308
ENSG00000180340,FZD2,ENSG00000180340.7,protein_coding,42634844,+,chr17,2.5924211563234643,4.100262849007282,2.760433874670112
ENSG00000104290,FZD3,ENSG00000104290.11,protein_coding,28351707,+,chr8,1.929677395211284,3.45990369613312,2.0800094987163376
ENSG00000174804,FZD4,ENSG00000174804.4,protein_coding,86666427,-,chr11,2.5387367998742167,4.008397246613957,2.6840556799402657
ENSG00000163251,FZD5,ENSG00000163251.4,protein_coding,208634613,-,chr2,1.7159372875364178,3.2548661099045906,1.9379469587418003
ENSG00000164930,FZD6,ENSG00000164930.12,protein_coding,104311064,+,chr8,3.883757650789371,5.329729974964456,4.030000528877438
ENSG00000188763,FZD9,ENSG00000188763.5,protein_coding,72848092,+,chr7,-1.5859727408750983,-0.1524840719595528,-1.3978282092466208
ENSG00000105325,FZR1,ENSG00000105325.15,protein_coding,3506261,+,chr19,2.8638988154003866,4.356355127029729,3.059459114693411
ENSG00000123689,G0S2,ENSG00000123689.6,protein_coding,209848749,+,chr1,2.859890058701136,4.31555898494599,3.008952939426935
ENSG00000092140,G2E3,ENSG00000092140.16,protein_coding,31028348,+,chr14,1.3778456102969656,2.8610422282958887,1.553213031228527
ENSG00000145907,G3BP1,ENSG00000145907.16,protein_coding,151151505,+,chr5,3.259076598694675,4.690327692604948,3.447327926219696
