<<<<<<< HEAD
,gene_name,gene_stable_id,gene_id,gene_type,TSS,genomic_strand,chromosome_name
4627,FARSA,ENSG00000179115,ENSG00000179115.11,protein_coding,12933729,-,chr19
4628,FARSB,ENSG00000116120,ENSG00000116120.11,protein_coding,222656099,-,chr2
4629,FAS,ENSG00000026103,ENSG00000026103.22,protein_coding,88990876,+,chr10
4630,FASLG,ENSG00000117560,ENSG00000117560.8,protein_coding,172659111,+,chr1
4631,FASN,ENSG00000169710,ENSG00000169710.9,protein_coding,82098243,-,chr17
4632,FASTK,ENSG00000164896,ENSG00000164896.20,protein_coding,151080831,-,chr7
4633,FASTKD1,ENSG00000138399,ENSG00000138399.18,protein_coding,169573851,-,chr2
4634,FASTKD2,ENSG00000118246,ENSG00000118246.14,protein_coding,206765623,+,chr2
4635,FASTKD3,ENSG00000124279,ENSG00000124279.12,protein_coding,7869060,-,chr5
4636,FASTKD5,ENSG00000215251,ENSG00000215251.4,protein_coding,3159897,-,chr20
4637,FAT1,ENSG00000083857,ENSG00000083857.14,protein_coding,186726710,-,chr4
4638,FAT2,ENSG00000086570,ENSG00000086570.13,protein_coding,151591338,-,chr5
4639,FAT3,ENSG00000165323,ENSG00000165323.16,protein_coding,92352235,+,chr11
4640,FAT4,ENSG00000196159,ENSG00000196159.14,protein_coding,125490441,+,chr4
4641,FATE1,ENSG00000147378,ENSG00000147378.11,protein_coding,151716046,+,chrX
4642,FAU,ENSG00000149806,ENSG00000149806.11,protein_coding,65122143,-,chr11
4643,FBF1,ENSG00000188878,ENSG00000188878.19,protein_coding,75941080,-,chr17
4644,FBL,ENSG00000105202,ENSG00000105202.9,protein_coding,39846389,-,chr19
4645,FBLIM1,ENSG00000162458,ENSG00000162458.13,protein_coding,15758819,+,chr1
4646,FBLN1,ENSG00000077942,ENSG00000077942.19,protein_coding,45502891,+,chr22
4647,FBLN2,ENSG00000163520,ENSG00000163520.14,protein_coding,13549167,+,chr3
4648,FBLN5,ENSG00000140092,ENSG00000140092.15,protein_coding,91947418,-,chr14
4649,FBLN7,ENSG00000144152,ENSG00000144152.13,protein_coding,112138443,+,chr2
4650,FBN1,ENSG00000166147,ENSG00000166147.15,protein_coding,48645736,-,chr15
4651,FBN2,ENSG00000138829,ENSG00000138829.12,protein_coding,128538252,-,chr5
4652,FBN3,ENSG00000142449,ENSG00000142449.13,protein_coding,8149566,-,chr19
4653,FBP1,ENSG00000165140,ENSG00000165140.12,protein_coding,94639558,-,chr9
4654,FBP2,ENSG00000130957,ENSG00000130957.5,protein_coding,94593829,-,chr9
4655,FBRS,ENSG00000156860,ENSG00000156860.16,protein_coding,30659407,+,chr16
4656,FBRSL1,ENSG00000112787,ENSG00000112787.14,protein_coding,132490211,+,chr12
4657,FBXL12,ENSG00000127452,ENSG00000127452.9,protein_coding,9819113,-,chr19
4658,FBXL13,ENSG00000161040,ENSG00000161040.16,protein_coding,103074811,-,chr7
4659,FBXL14,ENSG00000171823,ENSG00000171823.7,protein_coding,1594567,-,chr12
4660,FBXL15,ENSG00000107872,ENSG00000107872.14,protein_coding,102420848,+,chr10
4661,FBXL16,ENSG00000127585,ENSG00000127585.12,protein_coding,705814,-,chr16
4662,FBXL17,ENSG00000145743,ENSG00000145743.17,protein_coding,108381454,-,chr5
4663,FBXL18,ENSG00000155034,ENSG00000155034.19,protein_coding,5513814,-,chr7
4664,FBXL19,ENSG00000099364,ENSG00000099364.18,protein_coding,30923611,+,chr16
4665,FBXL2,ENSG00000153558,ENSG00000153558.16,protein_coding,33277493,+,chr3
4666,FBXL20,ENSG00000108306,ENSG00000108306.13,protein_coding,39401667,-,chr17
4667,FBXL22,ENSG00000197361,ENSG00000197361.8,protein_coding,63597396,+,chr15
4668,FBXL3,ENSG00000005812,ENSG00000005812.11,protein_coding,77027173,-,chr13
4669,FBXL4,ENSG00000112234,ENSG00000112234.9,protein_coding,98948002,-,chr6
4670,FBXL5,ENSG00000118564,ENSG00000118564.15,protein_coding,15655386,-,chr4
4671,FBXL6,ENSG00000182325,ENSG00000182325.11,protein_coding,144358510,-,chr8
4672,FBXL7,ENSG00000183580,ENSG00000183580.10,protein_coding,15500203,+,chr5
4673,FBXL8,ENSG00000135722,ENSG00000135722.9,protein_coding,67159994,+,chr16
4674,FBXO10,ENSG00000147912,ENSG00000147912.13,protein_coding,37576364,-,chr9
4675,FBXO11,ENSG00000138081,ENSG00000138081.22,protein_coding,47906200,-,chr2
4676,FBXO15,ENSG00000141665,ENSG00000141665.13,protein_coding,74147845,-,chr18
4677,FBXO16,ENSG00000214050,ENSG00000214050.8,protein_coding,28490268,-,chr8
4678,FBXO2,ENSG00000116661,ENSG00000116661.11,protein_coding,11654436,-,chr1
4679,FBXO21,ENSG00000135108,ENSG00000135108.15,protein_coding,117190503,-,chr12
4680,FBXO22,ENSG00000167196,ENSG00000167196.14,protein_coding,75903958,+,chr15
4681,FBXO24,ENSG00000106336,ENSG00000106336.13,protein_coding,100586462,+,chr7
4682,FBXO25,ENSG00000147364,ENSG00000147364.17,protein_coding,406967,+,chr8
4683,FBXO27,ENSG00000161243,ENSG00000161243.9,protein_coding,39032291,-,chr19
4684,FBXO28,ENSG00000143756,ENSG00000143756.12,protein_coding,224114134,+,chr1
4685,FBXO3,ENSG00000110429,ENSG00000110429.14,protein_coding,33774531,-,chr11
4686,FBXO30,ENSG00000118496,ENSG00000118496.5,protein_coding,145814816,-,chr6
4687,FBXO31,ENSG00000103264,ENSG00000103264.18,protein_coding,87383786,-,chr16
4688,FBXO32,ENSG00000156804,ENSG00000156804.7,protein_coding,123541213,-,chr8
4689,FBXO33,ENSG00000165355,ENSG00000165355.7,protein_coding,39432177,-,chr14
4690,FBXO34,ENSG00000178974,ENSG00000178974.11,protein_coding,55271458,+,chr14
4691,FBXO36,ENSG00000153832,ENSG00000153832.12,protein_coding,229922511,+,chr2
4692,FBXO38,ENSG00000145868,ENSG00000145868.17,protein_coding,148384023,+,chr5
4693,FBXO39,ENSG00000177294,ENSG00000177294.7,protein_coding,6776228,+,chr17
4694,FBXO4,ENSG00000151876,ENSG00000151876.13,protein_coding,41925314,+,chr5
4695,FBXO40,ENSG00000163833,ENSG00000163833.8,protein_coding,121593397,+,chr3
4696,FBXO41,ENSG00000163013,ENSG00000163013.12,protein_coding,73284500,-,chr2
4697,FBXO42,ENSG00000037637,ENSG00000037637.11,protein_coding,16352494,-,chr1
4698,FBXO43,ENSG00000156509,ENSG00000156509.14,protein_coding,100145826,-,chr8
4699,FBXO44,ENSG00000132879,ENSG00000132879.14,protein_coding,11654919,+,chr1
4700,FBXO45,ENSG00000174013,ENSG00000174013.8,protein_coding,196568684,+,chr3
4701,FBXO46,ENSG00000177051,ENSG00000177051.6,protein_coding,45730931,-,chr19
4702,FBXO47,ENSG00000204952,ENSG00000204952.3,protein_coding,38967438,-,chr17
4703,FBXO48,ENSG00000204923,ENSG00000204923.4,protein_coding,68467302,-,chr2
4704,FBXO5,ENSG00000112029,ENSG00000112029.10,protein_coding,152983059,-,chr6
4705,FBXO6,ENSG00000116663,ENSG00000116663.11,protein_coding,11664232,+,chr1
4706,FBXO7,ENSG00000100225,ENSG00000100225.18,protein_coding,32474788,+,chr22
4707,FBXO8,ENSG00000164117,ENSG00000164117.14,protein_coding,174283692,-,chr4
4708,FBXO9,ENSG00000112146,ENSG00000112146.17,protein_coding,53065438,+,chr6
4709,FBXW11,ENSG00000072803,ENSG00000072803.18,protein_coding,172006656,-,chr5
4710,FBXW12,ENSG00000164049,ENSG00000164049.14,protein_coding,48372181,+,chr3
4711,FBXW2,ENSG00000119402,ENSG00000119402.18,protein_coding,120793434,-,chr9
4712,FBXW4,ENSG00000107829,ENSG00000107829.15,protein_coding,101695205,-,chr10
4713,FBXW5,ENSG00000159069,ENSG00000159069.14,protein_coding,136944695,-,chr9
4714,FBXW7,ENSG00000109670,ENSG00000109670.16,protein_coding,152352797,-,chr4
4715,FBXW8,ENSG00000174989,ENSG00000174989.13,protein_coding,116911017,+,chr12
4716,FBXW9,ENSG00000132004,ENSG00000132004.13,protein_coding,12696654,-,chr19
4717,FCAMR,ENSG00000162897,ENSG00000162897.16,protein_coding,206970487,-,chr1
4718,FCAR,ENSG00000186431,ENSG00000186431.19,protein_coding,54874261,+,chr19
4719,FCER1A,ENSG00000179639,ENSG00000179639.10,protein_coding,159302346,+,chr1
4720,FCER1G,ENSG00000158869,ENSG00000158869.11,protein_coding,161215305,+,chr1
4721,FCER2,ENSG00000104921,ENSG00000104921.15,protein_coding,7702152,-,chr19
4722,FCF1,ENSG00000119616,ENSG00000119616.11,protein_coding,74713203,+,chr14
4723,FCGR1A,ENSG00000150337,ENSG00000150337.14,protein_coding,149784101,+,chr1
4724,FCGR1B,ENSG00000198019,ENSG00000198019.13,protein_coding,143874770,+,chr1
4725,FCGR2A,ENSG00000143226,ENSG00000143226.15,protein_coding,161505472,+,chr1
4726,FCGR3A,ENSG00000203747,ENSG00000203747.12,protein_coding,161549830,-,chr1
4727,FCGR3B,ENSG00000162747,ENSG00000162747.12,protein_coding,161631185,-,chr1
4728,FCGRT,ENSG00000104870,ENSG00000104870.13,protein_coding,49513274,+,chr19
4729,FCHO1,ENSG00000130475,ENSG00000130475.14,protein_coding,17747773,+,chr19
4730,FCHO2,ENSG00000157107,ENSG00000157107.14,protein_coding,72956081,+,chr5
4731,FCHSD1,ENSG00000197948,ENSG00000197948.11,protein_coding,141651425,-,chr5
4732,FCHSD2,ENSG00000137478,ENSG00000137478.15,protein_coding,73142301,-,chr11
4733,FCN1,ENSG00000085265,ENSG00000085265.11,protein_coding,134917932,-,chr9
4734,FCN2,ENSG00000160339,ENSG00000160339.16,protein_coding,134880817,+,chr9
4735,FCN3,ENSG00000142748,ENSG00000142748.13,protein_coding,27374831,-,chr1
4736,FCRL1,ENSG00000163534,ENSG00000163534.15,protein_coding,157820097,-,chr1
4737,FCRL2,ENSG00000132704,ENSG00000132704.16,protein_coding,157777139,-,chr1
4738,FCRL3,ENSG00000160856,ENSG00000160856.21,protein_coding,157700778,-,chr1
4739,FCRL4,ENSG00000163518,ENSG00000163518.11,protein_coding,157598090,-,chr1
4740,FCRL5,ENSG00000143297,ENSG00000143297.19,protein_coding,157552525,-,chr1
4741,FCRL6,ENSG00000181036,ENSG00000181036.14,protein_coding,159800525,+,chr1
4742,FCRLA,ENSG00000132185,ENSG00000132185.18,protein_coding,161707237,+,chr1
4743,FCRLB,ENSG00000162746,ENSG00000162746.14,protein_coding,161725881,+,chr1
4744,FDCSP,ENSG00000181617,ENSG00000181617.6,protein_coding,70226134,+,chr4
4745,FDFT1,ENSG00000079459,ENSG00000079459.13,protein_coding,11802797,+,chr8
4746,FDPS,ENSG00000160752,ENSG00000160752.15,protein_coding,155308954,+,chr1
4747,FDX1,ENSG00000137714,ENSG00000137714.3,protein_coding,110429968,+,chr11
4748,FDXACB1,ENSG00000255561,ENSG00000255561.7,protein_coding,111879184,-,chr11
4749,FDXR,ENSG00000161513,ENSG00000161513.12,protein_coding,74873010,-,chr17
4750,FECH,ENSG00000066926,ENSG00000066926.13,protein_coding,57586719,-,chr18
4751,FEM1A,ENSG00000141965,ENSG00000141965.5,protein_coding,4791752,+,chr19
4752,FEM1B,ENSG00000169018,ENSG00000169018.6,protein_coding,68277809,+,chr15
4753,FEM1C,ENSG00000145780,ENSG00000145780.8,protein_coding,115544790,-,chr5
4754,FEN1,ENSG00000168496,ENSG00000168496.4,protein_coding,61792947,+,chr11
4755,FER,ENSG00000151422,ENSG00000151422.13,protein_coding,108748977,+,chr5
4756,FERD3L,ENSG00000146618,ENSG00000146618.3,protein_coding,19145864,-,chr7
4757,FERMT1,ENSG00000101311,ENSG00000101311.16,protein_coding,6123090,-,chr20
4758,FERMT2,ENSG00000073712,ENSG00000073712.15,protein_coding,52951093,-,chr14
4759,FERMT3,ENSG00000149781,ENSG00000149781.13,protein_coding,64206742,+,chr11
4760,FES,ENSG00000182511,ENSG00000182511.12,protein_coding,90884511,+,chr15
4761,FETUB,ENSG00000090512,ENSG00000090512.12,protein_coding,186640409,+,chr3
4762,FEV,ENSG00000163497,ENSG00000163497.3,protein_coding,218984343,-,chr2
4763,FEZ1,ENSG00000149557,ENSG00000149557.14,protein_coding,125496311,-,chr11
4764,FEZ2,ENSG00000171055,ENSG00000171055.15,protein_coding,36598199,-,chr2
4765,FEZF1,ENSG00000128610,ENSG00000128610.12,protein_coding,122304760,-,chr7
4766,FEZF2,ENSG00000153266,ENSG00000153266.13,protein_coding,62373557,-,chr3
4767,FFAR2,ENSG00000126262,ENSG00000126262.5,protein_coding,35448273,+,chr19
4768,FFAR3,ENSG00000185897,ENSG00000185897.7,protein_coding,35358386,+,chr19
4769,FGA,ENSG00000171560,ENSG00000171560.16,protein_coding,154590751,-,chr4
4770,FGB,ENSG00000171564,ENSG00000171564.12,protein_coding,154563025,+,chr4
4771,FGD1,ENSG00000102302,ENSG00000102302.8,protein_coding,54495967,-,chrX
4772,FGD2,ENSG00000146192,ENSG00000146192.15,protein_coding,37005662,+,chr6
4773,FGD3,ENSG00000127084,ENSG00000127084.19,protein_coding,92964334,+,chr9
4774,FGD4,ENSG00000139132,ENSG00000139132.16,protein_coding,32485985,+,chr12
4775,FGD5,ENSG00000154783,ENSG00000154783.12,protein_coding,14819085,+,chr3
4776,FGD6,ENSG00000180263,ENSG00000180263.14,protein_coding,95217473,-,chr12
4777,FGF1,ENSG00000113578,ENSG00000113578.18,protein_coding,142686073,-,chr5
4778,FGF10,ENSG00000070193,ENSG00000070193.5,protein_coding,44389434,-,chr5
4779,FGF11,ENSG00000161958,ENSG00000161958.11,protein_coding,7438316,+,chr17
4780,FGF12,ENSG00000114279,ENSG00000114279.15,protein_coding,192727606,-,chr3
4781,FGF13,ENSG00000129682,ENSG00000129682.16,protein_coding,139205030,-,chrX
4782,FGF14,ENSG00000102466,ENSG00000102466.16,protein_coding,102402054,-,chr13
4783,FGF17,ENSG00000158815,ENSG00000158815.11,protein_coding,22042390,+,chr8
4784,FGF18,ENSG00000156427,ENSG00000156427.8,protein_coding,171419656,+,chr5
4785,FGF19,ENSG00000162344,ENSG00000162344.4,protein_coding,69704029,-,chr11
4786,FGF2,ENSG00000138685,ENSG00000138685.17,protein_coding,122826684,+,chr4
4787,FGF20,ENSG00000078579,ENSG00000078579.9,protein_coding,17002352,-,chr8
4788,FGF21,ENSG00000105550,ENSG00000105550.10,protein_coding,48756074,+,chr19
4789,FGF22,ENSG00000070388,ENSG00000070388.11,protein_coding,639884,+,chr19
4790,FGF23,ENSG00000118972,ENSG00000118972.3,protein_coding,4379713,-,chr12
4791,FGF3,ENSG00000186895,ENSG00000186895.4,protein_coding,69819229,-,chr11
4792,FGF4,ENSG00000075388,ENSG00000075388.4,protein_coding,69775344,-,chr11
4793,FGF5,ENSG00000138675,ENSG00000138675.17,protein_coding,80266673,+,chr4
4794,FGF6,ENSG00000111241,ENSG00000111241.3,protein_coding,4445816,-,chr12
4795,FGF7,ENSG00000140285,ENSG00000140285.12,protein_coding,49423267,+,chr15
4796,FGF8,ENSG00000107831,ENSG00000107831.14,protein_coding,101776123,-,chr10
4797,FGF9,ENSG00000102678,ENSG00000102678.7,protein_coding,21671081,+,chr13
4798,FGFBP1,ENSG00000137440,ENSG00000137440.5,protein_coding,15938355,-,chr4
4799,FGFBP2,ENSG00000137441,ENSG00000137441.8,protein_coding,15963182,-,chr4
4800,FGFBP3,ENSG00000174721,ENSG00000174721.10,protein_coding,91909506,-,chr10
4801,FGFR1,ENSG00000077782,ENSG00000077782.22,protein_coding,38468643,-,chr8
4802,FGFR1OP2,ENSG00000111790,ENSG00000111790.14,protein_coding,26938492,+,chr12
4803,FGFR2,ENSG00000066468,ENSG00000066468.24,protein_coding,121598461,-,chr10
4804,FGFR3,ENSG00000068078,ENSG00000068078.20,protein_coding,1793301,+,chr4
4805,FGFR4,ENSG00000160867,ENSG00000160867.15,protein_coding,177086923,+,chr5
4806,FGFRL1,ENSG00000127418,ENSG00000127418.15,protein_coding,1011650,+,chr4
4807,FGG,ENSG00000171557,ENSG00000171557.17,protein_coding,154612664,-,chr4
4808,FGGY,ENSG00000172456,ENSG00000172456.18,protein_coding,59297101,+,chr1
4809,FGL1,ENSG00000104760,ENSG00000104760.17,protein_coding,17895539,-,chr8
4810,FGL2,ENSG00000127951,ENSG00000127951.8,protein_coding,77199826,-,chr7
4811,FGR,ENSG00000000938,ENSG00000000938.13,protein_coding,27635154,-,chr1
4812,FH,ENSG00000091483,ENSG00000091483.8,protein_coding,241519766,-,chr1
4813,FHAD1,ENSG00000142621,ENSG00000142621.20,protein_coding,15247257,+,chr1
4814,FHDC1,ENSG00000137460,ENSG00000137460.10,protein_coding,152936368,+,chr4
4815,FHIT,ENSG00000189283,ENSG00000189283.10,protein_coding,61251466,-,chr3
4816,FHL1,ENSG00000022267,ENSG00000022267.19,protein_coding,136197061,+,chrX
4817,FHL2,ENSG00000115641,ENSG00000115641.19,protein_coding,105399061,-,chr2
4818,FHL3,ENSG00000183386,ENSG00000183386.10,protein_coding,38005522,-,chr1
4819,FHL5,ENSG00000112214,ENSG00000112214.11,protein_coding,96563145,+,chr6
4820,FHOD1,ENSG00000135723,ENSG00000135723.14,protein_coding,67247507,-,chr16
4821,FHOD3,ENSG00000134775,ENSG00000134775.15,protein_coding,36297743,+,chr18
4822,FIBCD1,ENSG00000130720,ENSG00000130720.13,protein_coding,130939254,-,chr9
4823,FIBIN,ENSG00000176971,ENSG00000176971.4,protein_coding,26994133,+,chr11
4824,FIBP,ENSG00000172500,ENSG00000172500.13,protein_coding,65888509,-,chr11
4825,FICD,ENSG00000198855,ENSG00000198855.7,protein_coding,108515317,+,chr12
4826,FIG4,ENSG00000112367,ENSG00000112367.12,protein_coding,109691322,+,chr6
4827,FIGLA,ENSG00000183733,ENSG00000183733.6,protein_coding,70790672,-,chr2
4828,FIGN,ENSG00000182263,ENSG00000182263.14,protein_coding,163736063,-,chr2
4829,FIGNL1,ENSG00000132436,ENSG00000132436.12,protein_coding,50450373,-,chr7
4830,FILIP1,ENSG00000118407,ENSG00000118407.15,protein_coding,75493806,-,chr6
4831,FILIP1L,ENSG00000168386,ENSG00000168386.19,protein_coding,99876180,-,chr3
4832,FIP1L1,ENSG00000145216,ENSG00000145216.16,protein_coding,53377687,+,chr4
4833,FIS1,ENSG00000214253,ENSG00000214253.9,protein_coding,101245096,-,chr7
4834,FITM1,ENSG00000139914,ENSG00000139914.7,protein_coding,24131628,+,chr14
4835,FITM2,ENSG00000197296,ENSG00000197296.6,protein_coding,44311218,-,chr20
4836,FIZ1,ENSG00000179943,ENSG00000179943.8,protein_coding,55599551,-,chr19
4837,FJX1,ENSG00000179431,ENSG00000179431.7,protein_coding,35618466,+,chr11
4838,FKBP10,ENSG00000141756,ENSG00000141756.19,protein_coding,41813013,+,chr17
4839,FKBP11,ENSG00000134285,ENSG00000134285.11,protein_coding,48925526,-,chr12
4840,FKBP14,ENSG00000106080,ENSG00000106080.11,protein_coding,30026716,-,chr7
4841,FKBP15,ENSG00000119321,ENSG00000119321.9,protein_coding,113221285,-,chr9
4842,FKBP1A,ENSG00000088832,ENSG00000088832.18,protein_coding,1393130,-,chr20
4843,FKBP1B,ENSG00000119782,ENSG00000119782.14,protein_coding,24049749,+,chr2
4844,FKBP1C,ENSG00000198225,ENSG00000198225.5,protein_coding,63211481,+,chr6
4845,FKBP2,ENSG00000173486,ENSG00000173486.14,protein_coding,64241113,+,chr11
4846,FKBP3,ENSG00000100442,ENSG00000100442.11,protein_coding,45134491,-,chr14
4847,FKBP4,ENSG00000004478,ENSG00000004478.8,protein_coding,2795037,+,chr12
4848,FKBP5,ENSG00000096060,ENSG00000096060.15,protein_coding,35688924,-,chr6
4849,FKBP6,ENSG00000077800,ENSG00000077800.13,protein_coding,73328195,+,chr7
4850,FKBP7,ENSG00000079150,ENSG00000079150.18,protein_coding,178478611,-,chr2
4851,FKBP8,ENSG00000105701,ENSG00000105701.16,protein_coding,18543588,-,chr19
4852,FKBP9,ENSG00000122642,ENSG00000122642.11,protein_coding,32957482,+,chr7
4853,FKBPL,ENSG00000204315,ENSG00000204315.4,protein_coding,32130294,-,chr6
4854,FKRP,ENSG00000181027,ENSG00000181027.11,protein_coding,46746058,+,chr19
4855,FKTN,ENSG00000106692,ENSG00000106692.15,protein_coding,105558163,+,chr9
4856,FLAD1,ENSG00000160688,ENSG00000160688.19,protein_coding,154983375,+,chr1
4857,FLCN,ENSG00000154803,ENSG00000154803.13,protein_coding,17237196,-,chr17
4858,FLG,ENSG00000143631,ENSG00000143631.11,protein_coding,152325246,-,chr1
4859,FLG2,ENSG00000143520,ENSG00000143520.6,protein_coding,152360008,-,chr1
4860,FLI1,ENSG00000151702,ENSG00000151702.17,protein_coding,128694108,+,chr11
4861,FLII,ENSG00000177731,ENSG00000177731.16,protein_coding,18258770,-,chr17
4862,FLNA,ENSG00000196924,ENSG00000196924.19,protein_coding,154371227,-,chrX
4863,FLNB,ENSG00000136068,ENSG00000136068.16,protein_coding,58008429,+,chr3
4864,FLNC,ENSG00000128591,ENSG00000128591.16,protein_coding,128830418,+,chr7
4865,FLOT1,ENSG00000137312,ENSG00000137312.15,protein_coding,30742696,-,chr6
4866,FLOT2,ENSG00000132589,ENSG00000132589.16,protein_coding,28897741,-,chr17
4867,FLRT1,ENSG00000126500,ENSG00000126500.4,protein_coding,64103645,+,chr11
4868,FLRT2,ENSG00000185070,ENSG00000185070.12,protein_coding,85530153,+,chr14
4869,FLRT3,ENSG00000125848,ENSG00000125848.10,protein_coding,14337586,-,chr20
4870,FLT1,ENSG00000102755,ENSG00000102755.12,protein_coding,28495135,-,chr13
4871,FLT3,ENSG00000122025,ENSG00000122025.15,protein_coding,28100610,-,chr13
4872,FLT3LG,ENSG00000090554,ENSG00000090554.13,protein_coding,49474600,+,chr19
4873,FLT4,ENSG00000037280,ENSG00000037280.16,protein_coding,180649605,-,chr5
4874,FLVCR1,ENSG00000162769,ENSG00000162769.13,protein_coding,212858293,+,chr1
4875,FLVCR2,ENSG00000119686,ENSG00000119686.10,protein_coding,75578639,+,chr14
4876,FLYWCH1,ENSG00000059122,ENSG00000059122.17,protein_coding,2912048,+,chr16
4877,FLYWCH2,ENSG00000162076,ENSG00000162076.13,protein_coding,2883308,+,chr16
4878,FMN1,ENSG00000248905,ENSG00000248905.10,protein_coding,33194727,-,chr15
4879,FMN2,ENSG00000155816,ENSG00000155816.21,protein_coding,240091897,+,chr1
4880,FMNL1,ENSG00000184922,ENSG00000184922.14,protein_coding,45221923,+,chr17
4881,FMNL2,ENSG00000157827,ENSG00000157827.20,protein_coding,152335183,+,chr2
4882,FMNL3,ENSG00000161791,ENSG00000161791.14,protein_coding,49707476,-,chr12
4883,FMO1,ENSG00000010932,ENSG00000010932.17,protein_coding,171248537,+,chr1
4884,FMO2,ENSG00000094963,ENSG00000094963.14,protein_coding,171185309,+,chr1
4885,FMO3,ENSG00000007933,ENSG00000007933.13,protein_coding,171090911,+,chr1
4886,FMO4,ENSG00000076258,ENSG00000076258.10,protein_coding,171314190,+,chr1
4887,FMO5,ENSG00000131781,ENSG00000131781.13,protein_coding,147225382,-,chr1
4888,FMOD,ENSG00000122176,ENSG00000122176.12,protein_coding,203351112,-,chr1
4889,FMR1,ENSG00000102081,ENSG00000102081.15,protein_coding,147911980,+,chrX
4890,FMR1NB,ENSG00000176988,ENSG00000176988.9,protein_coding,147981351,+,chrX
4891,FN1,ENSG00000115414,ENSG00000115414.21,protein_coding,215436075,-,chr2
4892,FN3K,ENSG00000167363,ENSG00000167363.14,protein_coding,82735637,+,chr17
4893,FN3KRP,ENSG00000141560,ENSG00000141560.15,protein_coding,82716758,+,chr17
4894,FNBP1,ENSG00000187239,ENSG00000187239.17,protein_coding,130043196,-,chr9
4895,FNBP1L,ENSG00000137942,ENSG00000137942.18,protein_coding,93448148,+,chr1
4896,FNBP4,ENSG00000109920,ENSG00000109920.13,protein_coding,47767367,-,chr11
4897,FNDC1,ENSG00000164694,ENSG00000164694.17,protein_coding,159169406,+,chr6
4898,FNDC3A,ENSG00000102531,ENSG00000102531.16,protein_coding,49110381,+,chr13
4899,FNDC3B,ENSG00000075420,ENSG00000075420.13,protein_coding,172039629,+,chr3
4900,FNDC4,ENSG00000115226,ENSG00000115226.10,protein_coding,27495260,-,chr2
4901,FNDC5,ENSG00000160097,ENSG00000160097.20,protein_coding,32870927,-,chr1
4902,FNDC7,ENSG00000143107,ENSG00000143107.10,protein_coding,108712924,+,chr1
4903,FNDC8,ENSG00000073598,ENSG00000073598.6,protein_coding,35121637,+,chr17
4904,FNDC9,ENSG00000172568,ENSG00000172568.5,protein_coding,157345682,-,chr5
4905,FNIP1,ENSG00000217128,ENSG00000217128.12,protein_coding,131797026,-,chr5
4906,FNIP2,ENSG00000052795,ENSG00000052795.13,protein_coding,158769035,+,chr4
4907,FNTA,ENSG00000168522,ENSG00000168522.13,protein_coding,43056343,+,chr8
4908,FNTB,ENSG00000257365,ENSG00000257365.8,protein_coding,64986935,+,chr14
4909,FOLR1,ENSG00000110195,ENSG00000110195.14,protein_coding,72192148,+,chr11
4910,FOLR2,ENSG00000165457,ENSG00000165457.14,protein_coding,72216801,+,chr11
4911,FOLR3,ENSG00000110203,ENSG00000110203.9,protein_coding,72114858,+,chr11
4912,FOS,ENSG00000170345,ENSG00000170345.10,protein_coding,75278834,+,chr14
4913,FOSB,ENSG00000125740,ENSG00000125740.14,protein_coding,45468007,+,chr19
4914,FOSL1,ENSG00000175592,ENSG00000175592.9,protein_coding,65900397,-,chr11
4915,FOSL2,ENSG00000075426,ENSG00000075426.12,protein_coding,28392866,+,chr2
4916,FOXA1,ENSG00000129514,ENSG00000129514.8,protein_coding,37595281,-,chr14
4917,FOXA2,ENSG00000125798,ENSG00000125798.15,protein_coding,22584272,-,chr20
4918,FOXA3,ENSG00000170608,ENSG00000170608.3,protein_coding,45864334,+,chr19
4919,FOXB1,ENSG00000171956,ENSG00000171956.7,protein_coding,60004265,+,chr15
4920,FOXC1,ENSG00000054598,ENSG00000054598.9,protein_coding,1610075,+,chr6
4921,FOXC2,ENSG00000176692,ENSG00000176692.8,protein_coding,86566835,+,chr16
4922,FOXD2,ENSG00000186564,ENSG00000186564.6,protein_coding,47438336,+,chr1
4923,FOXD3,ENSG00000187140,ENSG00000187140.6,protein_coding,63322579,+,chr1
4924,FOXE1,ENSG00000178919,ENSG00000178919.9,protein_coding,97853237,+,chr9
4925,FOXE3,ENSG00000186790,ENSG00000186790.6,protein_coding,47416286,+,chr1
4926,FOXF1,ENSG00000103241,ENSG00000103241.7,protein_coding,86510539,+,chr16
4927,FOXF2,ENSG00000137273,ENSG00000137273.6,protein_coding,1389586,+,chr6
4928,FOXG1,ENSG00000176165,ENSG00000176165.12,protein_coding,28766802,+,chr14
4929,FOXH1,ENSG00000160973,ENSG00000160973.8,protein_coding,144475858,-,chr8
4930,FOXI1,ENSG00000168269,ENSG00000168269.10,protein_coding,170105900,+,chr5
4931,FOXI2,ENSG00000186766,ENSG00000186766.8,protein_coding,127737190,+,chr10
4932,FOXJ1,ENSG00000129654,ENSG00000129654.8,protein_coding,76141256,-,chr17
4933,FOXJ2,ENSG00000065970,ENSG00000065970.9,protein_coding,8032743,+,chr12
4934,FOXJ3,ENSG00000198815,ENSG00000198815.9,protein_coding,42335241,-,chr1
4935,FOXK1,ENSG00000164916,ENSG00000164916.11,protein_coding,4682314,+,chr7
4936,FOXK2,ENSG00000141568,ENSG00000141568.21,protein_coding,82519761,+,chr17
4937,FOXL1,ENSG00000176678,ENSG00000176678.6,protein_coding,86578788,+,chr16
