chromosome_name,start,end,locus_id,color,strand,start2,end2,RGB,p,gene_name,Gene stable ID,gene_id
chr4,71108300,71108323,"p1@CSN3,0.0717",0.0,+,71108300,71108323,"211,211,211",p1,CSN3,ENSG00000171209,ENSG00000171209.3
chr5,148930684,148930685,"p52@CSNK1A1,0.6776",45.0,-,148930684,148930685,"60,179,113",p52,CSNK1A1,ENSG00000113712,ENSG00000113712.12
chr13,37679746,37679749,"p3@CSNK1A1L,0.3304",51.0,-,37679746,37679749,"60,179,113",p3,CSNK1A1L,ENSG00000180138,ENSG00000180138.6
chr15,37110754,37110759,"p2@CSNK1A1P1,0.3251",-47.0,-,37110754,37110759,"60,179,113",p2,CSNK1A1P1,ENSG00000223518,ENSG00000223518.5
chr5,98169085,98169094,"p1@CSNK1A1P3,0.0803",0.0,+,98169085,98169094,"211,211,211",p1,CSNK1A1P3,ENSG00000250162,ENSG00000250162.1
chr17,80201701,80201702,"p10@CSNK1D,0.2811",161.0,-,80201701,80201702,"60,179,113",p10,CSNK1D,ENSG00000141551,ENSG00000141551.10
chr22,38713820,38713821,"p58@CSNK1E,0.3304",-376.0,-,38713820,38713821,"60,179,113",p58,CSNK1E,ENSG00000213923,ENSG00000213923.6
chr15,64463772,64463773,"p5@CSNK1G1,0.1304",-317.0,-,64463772,64463773,"211,211,211",p5,CSNK1G1,ENSG00000169118,ENSG00000169118.11
chr19,1940828,1940847,"p14@CSNK1G2,0.2138",-313.0,+,1940828,1940847,"30,144,255",p14,CSNK1G2,ENSG00000133275,ENSG00000133275.11
chr19,1954559,1954574,"p2@CSNK1G2-AS1,0.3096",-11.0,-,1954559,1954574,"60,179,113",p2,CSNK1G2-AS1,ENSG00000180846,ENSG00000180846.4
chr5,122888801,122888805,"p13@CSNK1G3,0.0739",142.0,+,122888801,122888805,"211,211,211",p13,CSNK1G3,ENSG00000151292,ENSG00000151292.13
chr20,524352,524359,"p4@CSNK2A1,0.4853",-12.0,-,524352,524359,"60,179,113",p4,CSNK2A1,ENSG00000101266,ENSG00000101266.12
chr16,58195706,58195731,"p17@CSNK2A2,0.0941",-392.0,-,58195706,58195731,"211,211,211",p17,CSNK2A2,ENSG00000070770,ENSG00000070770.4
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000224774,ENSG00000224774.3
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000228875,ENSG00000228875.4
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000206406,ENSG00000206406.5
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000230700,ENSG00000230700.4
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000232960,ENSG00000232960.5
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000224398,ENSG00000224398.3
chr6,31633354,31633364,"p11@CSNK2B,0.2913",-292.0,+,31633354,31633364,"60,179,113",p11,CSNK2B,ENSG00000204435,ENSG00000204435.9
chr15,76005061,76005083,"p3@CSPG4,0.3071",12.0,-,76005061,76005083,"60,179,113",p3,CSPG4,ENSG00000173546,ENSG00000173546.7
chr3,47619553,47619554,"p26@CSPG5,0.4292",68.0,-,47619553,47619554,"60,179,113",p26,CSPG5,ENSG00000114646,ENSG00000114646.5
chr8,68070831,68070833,"p8@CSPP1,0.0837",-489.0,+,68070831,68070833,"211,211,211",p8,CSPP1,ENSG00000104218,ENSG00000104218.9
chr3,39195506,39195510,"p19@CSRNP1,0.3287",-404.0,-,39195506,39195510,"60,179,113",p19,CSRNP1,ENSG00000144655,ENSG00000144655.10
chr12,51477011,51477012,"p6@CSRNP2,0.4011",-118.0,-,51477011,51477012,"60,179,113",p6,CSRNP2,ENSG00000110925,ENSG00000110925.2
chr2,166544802,166544803,"p23@CSRNP3,0.0948",-453.0,+,166544802,166544803,"211,211,211",p23,CSRNP3,ENSG00000178662,ENSG00000178662.11
chr1,201462335,201462345,"p18@CSRP1,0.1374",-306.0,-,201462335,201462345,"211,211,211",p18,CSRP1,ENSG00000159176,ENSG00000159176.9
chr12,77258701,77258702,"p13@CSRP2,0.2690",31.0,-,77258701,77258702,"60,179,113",p13,CSRP2,ENSG00000175183,ENSG00000175183.5
chr20,18125897,18125898,"p14@CSRP2BP,0.1967",154.0,+,18125897,18125898,"30,144,255",p14,CSRP2BP,ENSG00000149474,ENSG00000149474.9
chr11,19214000,19214004,"p2@CSRP3,0.1047",-5.0,-,19214000,19214004,"211,211,211",p2,CSRP3,ENSG00000129170,ENSG00000129170.4
chr20,23732050,23732051,"p8@CST1,0.2441",-145.0,-,23732050,23732051,"60,179,113",p8,CST1,ENSG00000170373,ENSG00000170373.4
chr20,23433805,23433828,"p3@CST11,0.1458",-311.0,-,23433805,23433828,"30,144,255",p3,CST11,ENSG00000125831,ENSG00000125831.5
chr20,23807689,23807690,"p6@CST2,0.1351",-321.0,-,23807689,23807690,"211,211,211",p6,CST2,ENSG00000170369,ENSG00000170369.3
chr20,23619589,23619593,"p3@CST3,0.1980",-479.0,-,23619589,23619593,"30,144,255",p3,CST3,ENSG00000101439,ENSG00000101439.4
chr20,23669452,23669453,"p13@CST4,0.1988",153.0,-,23669452,23669453,"30,144,255",p13,CST4,ENSG00000101441,ENSG00000101441.4
chr20,23860698,23860732,"p2@CST5,0.1528",-311.0,-,23860698,23860732,"30,144,255",p2,CST5,ENSG00000170367,ENSG00000170367.4
chr11,65778857,65778859,"p18@CST6,0.3347",-95.0,+,65778857,65778859,"60,179,113",p18,CST6,ENSG00000175315,ENSG00000175315.2
chr20,24929935,24929964,"p2@CST7,0.2572",69.0,+,24929935,24929964,"60,179,113",p2,CST7,ENSG00000077984,ENSG00000077984.4
chr20,23471727,23471757,"p1@CST8,0.1251",0.0,+,23471727,23471757,"211,211,211",p1,CST8,ENSG00000125815,ENSG00000125815.4
chr20,23586553,23586560,"p1@CST9,0.1478",-40.0,-,23586553,23586560,"30,144,255",p1,CST9,ENSG00000173335,ENSG00000173335.4
chr20,23549236,23549239,"p7@CST9L,0.2661",146.0,-,23549236,23549239,"60,179,113",p7,CST9L,ENSG00000101435,ENSG00000101435.4
chr3,122044084,122044106,"p1@CSTA,0.0858",0.0,+,122044084,122044106,"211,211,211",p1,CSTA,ENSG00000121552,ENSG00000121552.3
chr21,45196520,45196523,"p7@CSTB,0.2108",-194.0,-,45196520,45196523,"30,144,255",p7,CSTB,ENSG00000160213,ENSG00000160213.5
chr20,54970628,54970659,"p5@CSTF1,0.0944",19.0,+,54970628,54970659,"211,211,211",p5,CSTF1,ENSG00000101138,ENSG00000101138.7
chrX,100075161,100075165,"p2@CSTF2,0.2539",-182.0,+,100075161,100075165,"60,179,113",p2,CSTF2,ENSG00000101811,ENSG00000101811.9
chr10,53459656,53459660,"p6@CSTF2T,0.1758",-301.0,-,53459656,53459660,"30,144,255",p6,CSTF2T,ENSG00000177613,ENSG00000177613.7
chr11,33107760,33107769,"p5@CSTF3,0.0834",-310.0,-,33107760,33107769,"211,211,211",p5,CSTF3,ENSG00000176102,ENSG00000176102.7
chrX,134975625,134975635,"p5@CT45A5,0.4332",-46.0,-,134975625,134975635,"60,179,113",p5,CT45A5,ENSG00000242284,ENSG00000242284.3
chrX,134975625,134975635,"p5@CT45A5,0.4332",-46.0,-,134975625,134975635,"60,179,113",p5,CT45A5,ENSG00000269586,ENSG00000269586.3
chr15,71407791,71407798,"p3@CT62,0.5238",40.0,-,71407791,71407798,"60,179,113",p3,CT62,ENSG00000225362,ENSG00000225362.4
chr18,19997874,19997881,"p2@CTAGE1,0.2894",0.0,-,19997874,19997881,"60,179,113",p2,CTAGE1,ENSG00000212710,ENSG00000212710.3
chr13,50464634,50464675,"p1@CTAGE10P,0.1216",-51.0,+,50464634,50464675,"211,211,211",p1,CTAGE10P,ENSG00000181358,ENSG00000181358.3
chr13,75814492,75814493,"p1@CTAGE11P,0.1302",23.0,-,75814492,75814493,"211,211,211",p1,CTAGE11P,ENSG00000214249,ENSG00000214249.3
chr6,168689987,168690007,"p1@CTAGE13P,0.1452",22.0,-,168689987,168690007,"30,144,255",p1,CTAGE13P,ENSG00000230711,ENSG00000230711.2
chr13,59102673,59102704,"p1@CTAGE16P,0.1253",-44.0,+,59102673,59102704,"211,211,211",p1,CTAGE16P,ENSG00000214335,ENSG00000214335.3
chr13,52484812,52484831,"p1@CTAGE3P,0.1297",-55.0,-,52484812,52484831,"211,211,211",p1,CTAGE3P,ENSG00000232872,ENSG00000232872.2
chr14,39736201,39736210,"p26@CTAGE5,0.3926",-79.0,+,39736201,39736210,"60,179,113",p26,CTAGE5,ENSG00000150527,ENSG00000150527.12
chr10,131904289,131904293,"p1@CTAGE7P,0.1840",16.0,+,131904289,131904293,"30,144,255",p1,CTAGE7P,ENSG00000233122,ENSG00000233122.1
chr4,1244051,1244052,"p26@CTBP1,0.1913",-310.0,-,1244051,1244052,"30,144,255",p26,CTBP1,ENSG00000159692,ENSG00000159692.11
chr10,126827005,126827006,"p38@CTBP2,0.1247",-186.0,-,126827005,126827006,"211,211,211",p38,CTBP2,ENSG00000175029,ENSG00000175029.12
chrY,59001417,59001418,"p1@CTBP2P1,0.0876",26.0,+,59001417,59001418,"211,211,211",p1,CTBP2P1,ENSG00000235857,ENSG00000235857.1
chr1,85039622,85039623,"p3@CTBS,0.1867",489.0,-,85039622,85039623,"30,144,255",p3,CTBS,ENSG00000117151,ENSG00000117151.8
chr17,8151324,8151325,"p5@CTC1,0.3458",87.0,-,8151324,8151325,"60,179,113",p5,CTC1,ENSG00000178971,ENSG00000178971.9
chr16,67644830,67644831,"p23@CTCF,0.1116",94.0,+,67644830,67644831,"211,211,211",p23,CTCF,ENSG00000102974,ENSG00000102974.10
chr20,56101083,56101084,"p3@CTCFL,0.1483",-375.0,-,56101083,56101084,"30,144,255",p3,CTCFL,ENSG00000124092,ENSG00000124092.8
chr17,7154718,7154720,"p17@CTDNEP1,0.1636",274.0,-,7154718,7154720,"30,144,255",p17,CTDNEP1,ENSG00000175826,ENSG00000175826.7
chr18,77472743,77472764,"p5@CTDP1,0.1744",-250.0,+,77472743,77472764,"30,144,255",p5,CTDP1,ENSG00000060069,ENSG00000060069.12
chr2,219265962,219265965,"p37@CTDSP1,0.3194",72.0,+,219265962,219265965,"60,179,113",p37,CTDSP1,ENSG00000144579,ENSG00000144579.3
chr12,58239304,58239308,"p17@CTDSP2,0.4802",8.0,-,58239304,58239308,"60,179,113",p17,CTDSP2,ENSG00000175215,ENSG00000175215.5
chr3,37903734,37903737,"p16@CTDSPL,0.5704",43.0,+,37903734,37903737,"60,179,113",p16,CTDSPL,ENSG00000144677,ENSG00000144677.10
chr15,44720178,44720180,"p21@CTDSPL2,0.3980",166.0,+,44720178,44720180,"60,179,113",p21,CTDSPL2,ENSG00000137770,ENSG00000137770.9
chr16,30907894,30907902,"p2@CTF1,0.3590",-25.0,+,30907894,30907902,"60,179,113",p2,CTF1,ENSG00000150281,ENSG00000150281.6
chr6,132270760,132270762,"p42@CTGF,0.1006",-373.0,-,132270760,132270762,"211,211,211",p42,CTGF,ENSG00000118523,ENSG00000118523.5
chr1,70877261,70877262,"p8@CTH,0.1912",306.0,+,70877261,70877262,"30,144,255",p8,CTH,ENSG00000116761,ENSG00000116761.7
chr8,104384556,104384559,"p10@CTHRC1,0.4402",-101.0,+,104384556,104384559,"60,179,113",p10,CTHRC1,ENSG00000164932,ENSG00000164932.8
chr18,46147812,46147814,"p9@CTIF,0.2650",-162.0,+,46147812,46147814,"60,179,113",p9,CTIF,ENSG00000134030,ENSG00000134030.9
chr2,204735046,204735047,"p10@CTLA4,0.1271",91.0,+,204735046,204735047,"211,211,211",p10,CTLA4,ENSG00000163599,ENSG00000163599.10
chr5,137999164,137999168,"p35@CTNNA1,0.1363",-357.0,+,137999164,137999168,"211,211,211",p35,CTNNA1,ENSG00000044115,ENSG00000044115.16
chr2,80540547,80540549,"p29@CTNNA2,0.0778",43.0,+,80540547,80540549,"211,211,211",p29,CTNNA2,ENSG00000066032,ENSG00000066032.14
chr10,69425394,69425395,"p8@CTNNA3,0.5341",-12.0,-,69425394,69425395,"60,179,113",p8,CTNNA3,ENSG00000183230,ENSG00000183230.12
chr9,111735084,111735089,"p13@CTNNAL1,0.1584",23.0,-,111735084,111735089,"30,144,255",p13,CTNNAL1,ENSG00000119326,ENSG00000119326.10
chr3,41263344,41263345,"p63@CTNNB1,0.0869",-231.0,+,41263344,41263345,"211,211,211",p63,CTNNB1,ENSG00000168036,ENSG00000168036.12
chr1,9932453,9932454,"p20@CTNNBIP1,0.1326",-303.0,-,9932453,9932454,"211,211,211",p20,CTNNBIP1,ENSG00000178585,ENSG00000178585.10
chr20,36470766,36470767,"p20@CTNNBL1,0.3918",110.0,+,36470766,36470767,"60,179,113",p20,CTNNBL1,ENSG00000132792,ENSG00000132792.14
chr11,57520710,57520716,"p20@CTNND1,0.4014",0.0,+,57520710,57520716,"60,179,113",p20,CTNND1,ENSG00000198561,ENSG00000198561.8
chr5,11397326,11397331,"p64@CTNND2,0.2702",-126.0,-,11397326,11397331,"60,179,113",p64,CTNND2,ENSG00000169862,ENSG00000169862.14
chr17,3540489,3540490,"p6@CTNS,0.2430",91.0,+,3540489,3540490,"60,179,113",p6,CTNS,ENSG00000040531,ENSG00000040531.10
chrX,16731160,16731165,"p19@CTPS2,0.4229",-101.0,-,16731160,16731165,"60,179,113",p19,CTPS2,ENSG00000047230,ENSG00000047230.10
chr11,10794126,10794154,"p6@CTR9,0.1137",72.0,+,10794126,10794154,"211,211,211",p6,CTR9,ENSG00000198730,ENSG00000198730.3
chr16,75256438,75256439,"p9@CTRB1,0.2629",-68.0,+,75256438,75256439,"60,179,113",p9,CTRB1,ENSG00000168925,ENSG00000168925.6
chr16,75240460,75240462,"p3@CTRB2,0.1950",-368.0,-,75240460,75240462,"30,144,255",p3,CTRB2,ENSG00000168928,ENSG00000168928.8
chr1,15766805,15766813,"p3@CTRC,0.2930",-32.0,+,15766805,15766813,"60,179,113",p3,CTRC,ENSG00000162438,ENSG00000162438.7
chr16,67965913,67965933,"p2@CTRL,0.1967",-135.0,-,67965913,67965933,"30,144,255",p2,CTRL,ENSG00000141086,ENSG00000141086.13
chr20,44526701,44526703,"p27@CTSA,0.0914",281.0,+,44526701,44526703,"211,211,211",p27,CTSA,ENSG00000064601,ENSG00000064601.12
chr8,11726656,11726657,"p45@CTSB,0.2931",-230.0,-,11726656,11726657,"60,179,113",p45,CTSB,ENSG00000164733,ENSG00000164733.16
chr11,88071295,88071324,"p5@CTSC,0.2364",-340.0,-,88071295,88071324,"60,179,113",p5,CTSC,ENSG00000109861,ENSG00000109861.11
chr11,1783078,1783079,"p16@CTSD,0.2131",-308.0,-,1783078,1783079,"30,144,255",p16,CTSD,ENSG00000117984,ENSG00000117984.8
chr1,206319965,206319966,"p16@CTSE,0.2591",-27.0,+,206319965,206319966,"60,179,113",p16,CTSE,ENSG00000196188,ENSG00000196188.6
chr1,206319965,206319966,"p16@CTSE,0.2591",-27.0,+,206319965,206319966,"60,179,113",p16,CTSE,ENSG00000264606,ENSG00000264606.1
chr11,66336260,66336261,"p9@CTSF,0.3263",50.0,-,66336260,66336261,"60,179,113",p9,CTSF,ENSG00000174080,ENSG00000174080.6
chr14,25045446,25045464,"p1@CTSG,0.1222",0.0,-,25045446,25045464,"211,211,211",p1,CTSG,ENSG00000100448,ENSG00000100448.3
chr15,79229868,79229871,"p12@CTSH,0.0927",185.0,-,79229868,79229871,"211,211,211",p12,CTSH,ENSG00000103811,ENSG00000103811.11
chr1,150779743,150779746,"p10@CTSK,0.0964",-499.0,-,150779743,150779746,"211,211,211",p10,CTSK,ENSG00000143387,ENSG00000143387.8
chr4,156875187,156875207,"p5@CTSO,0.3070",-118.0,-,156875187,156875207,"60,179,113",p5,CTSO,ENSG00000263238,ENSG00000263238.1
chr4,156875187,156875207,"p5@CTSO,0.3070",-118.0,-,156875187,156875207,"60,179,113",p5,CTSO,ENSG00000256043,ENSG00000256043.2
chr1,150737573,150737576,"p36@CTSS,0.1101",-395.0,-,150737573,150737576,"211,211,211",p36,CTSS,ENSG00000163131,ENSG00000163131.6
chr11,65647297,65647318,"p1@CTSW,0.1516",0.0,+,65647297,65647318,"30,144,255",p1,CTSW,ENSG00000172543,ENSG00000172543.3
chr20,57573305,57573306,"p21@CTSZ,0.1783",-254.0,-,57573305,57573306,"30,144,255",p21,CTSZ,ENSG00000101160,ENSG00000101160.9
chr11,70267942,70267943,"p32@CTTN,0.2212",240.0,+,70267942,70267943,"30,144,255",p32,CTTN,ENSG00000085733,ENSG00000085733.11
chr7,117433859,117433860,"p35@CTTNBP2,0.1256",-200.0,-,117433859,117433860,"211,211,211",p35,CTTNBP2,ENSG00000077063,ENSG00000077063.6
chr1,112938654,112938655,"p17@CTTNBP2NL,0.3791",-144.0,+,112938654,112938655,"60,179,113",p17,CTTNBP2NL,ENSG00000143079,ENSG00000143079.10
chr19,51612096,51612100,"p2@CTU1,0.2369",-449.0,-,51612096,51612100,"60,179,113",p2,CTU1,ENSG00000142544,ENSG00000142544.6
chr16,88772407,88772410,"p3@CTU2,0.2242",-480.0,+,88772407,88772410,"30,144,255",p3,CTU2,ENSG00000174177,ENSG00000174177.8
chr19,7991144,7991145,"p21@CTXN1,0.3742",-93.0,-,7991144,7991145,"60,179,113",p21,CTXN1,ENSG00000178531,ENSG00000178531.4
chr15,48483893,48483896,"p7@CTXN2,p8@SLC12A1,0.6099",26.0,+,48483893,48483896,"60,179,113",p7,CTXN2,ENSG00000233932,ENSG00000233932.3
chr5,126993516,126993517,"p9@CTXN3,0.1056",328.0,+,126993516,126993517,"211,211,211",p9,CTXN3,ENSG00000205279,ENSG00000205279.4
chr10,17026349,17026352,"p13@CUBN,0.0898",-155.0,-,17026349,17026352,"211,211,211",p13,CUBN,ENSG00000107611,ENSG00000107611.10
chr17,56033128,56033140,"p16@CUEDC1,0.1906",-444.0,-,56033128,56033140,"30,144,255",p16,CUEDC1,ENSG00000180891,ENSG00000180891.8
chr10,104185056,104185058,"p5@CUEDC2,0.2301",-111.0,-,104185056,104185058,"60,179,113",p5,CUEDC2,ENSG00000107874,ENSG00000107874.6
chr7,148427156,148427157,"p14@CUL1,0.2834",102.0,+,148427156,148427157,"60,179,113",p14,CUL1,ENSG00000055130,ENSG00000055130.11
chr10,35363196,35363215,"p8@CUL2,0.1148",0.0,-,35363196,35363215,"211,211,211",p8,CUL2,ENSG00000108094,ENSG00000108094.10
chr2,225450415,225450421,"p48@CUL3,0.1619",-305.0,-,225450415,225450421,"30,144,255",p48,CUL3,ENSG00000036257,ENSG00000036257.8
chr13,113918406,113918408,"p26@CUL4A,0.1100",368.0,+,113918406,113918408,"211,211,211",p26,CUL4A,ENSG00000139842,ENSG00000139842.10
chrX,119695511,119695514,"p32@CUL4B,0.2472",-216.0,-,119695511,119695514,"60,179,113",p32,CUL4B,ENSG00000158290,ENSG00000158290.12
chr11,107879545,107879550,"p5@CUL5,0.5287",86.0,+,107879545,107879550,"60,179,113",p5,CUL5,ENSG00000166266,ENSG00000166266.9
chr6,43021406,43021424,"p9@CUL7,0.4962",12.0,-,43021406,43021424,"60,179,113",p9,CUL7,ENSG00000044090,ENSG00000044090.4
chr6,43191032,43191064,"p13@CUL9,0.1903",54.0,+,43191032,43191064,"30,144,255",p13,CUL9,ENSG00000112659,ENSG00000112659.9
chr6,33385854,33385866,"p5@CUTA,0.5910",0.0,-,33385854,33385866,"60,179,113",p5,CUTA,ENSG00000112514,ENSG00000112514.11
chr6,33385854,33385866,"p5@CUTA,0.5910",0.0,-,33385854,33385866,"60,179,113",p5,CUTA,ENSG00000226492,ENSG00000226492.3
chr10,101491968,101492076,"p1@CUTC,0.2998",0.0,+,101491968,101492076,"60,179,113",p1,CUTC,ENSG00000119929,ENSG00000119929.8
chr7,101460676,101460677,"p20@CUX1,0.3117",-204.0,+,101460676,101460677,"60,179,113",p20,CUX1,ENSG00000257923,ENSG00000257923.5
chr7,101460676,101460677,"p20@CUX1,0.3117",-204.0,+,101460676,101460677,"60,179,113",p20,CUX1,ENSG00000259938,ENSG00000259938.1
chr12,111536893,111536894,"p14@CUX2,0.1771",-355.0,+,111536893,111536894,"30,144,255",p14,CUX2,ENSG00000111249,ENSG00000111249.9
chr10,124605447,124605448,"p5@CUZD1,0.0801",242.0,-,124605447,124605448,"211,211,211",p5,CUZD1,ENSG00000138161,ENSG00000138161.8
chr11,94706890,94706891,"p6@CWC15,0.3439",-114.0,-,94706890,94706891,"60,179,113",p6,CWC15,ENSG00000150316,ENSG00000150316.7
chr11,94706890,94706891,"p6@CWC15,0.3439",-114.0,-,94706890,94706891,"60,179,113",p6,CWC15,ENSG00000261974,ENSG00000261974.2
chr2,180851858,180851859,"p6@CWC22,0.0861",-409.0,-,180851858,180851859,"211,211,211",p6,CWC22,ENSG00000163510,ENSG00000163510.9
chr17,36981528,36981539,"p3@CWC25,0.4939",28.0,-,36981528,36981539,"60,179,113",p3,CWC25,ENSG00000108296,ENSG00000108296.7
chr5,64064567,64064574,"p12@CWC27,0.1762",-180.0,+,64064567,64064574,"30,144,255",p12,CWC27,ENSG00000153015,ENSG00000153015.11
chr10,101998231,101998236,"p7@CWF19L1,0.1189",-271.0,-,101998231,101998236,"211,211,211",p7,CWF19L1,ENSG00000095485,ENSG00000095485.12
chr11,107313746,107313756,"p2@CWF19L2,0.0877",18.0,-,107313746,107313756,"211,211,211",p2,CWF19L2,ENSG00000152404,ENSG00000152404.11
chr4,48988672,48988713,"p5@CWH43,0.3537",13.0,+,48988672,48988713,"60,179,113",p5,CWH43,ENSG00000109182,ENSG00000109182.7
chr16,57417168,57417179,"p8@CX3CL1,0.1096",226.0,+,57417168,57417179,"211,211,211",p8,CX3CL1,ENSG00000006210,ENSG00000006210.6
chr3,39322571,39322574,"p14@CX3CR1,0.2164",189.0,-,39322571,39322574,"30,144,255",p14,CX3CR1,ENSG00000168329,ENSG00000168329.9
chr21,18884967,18884972,"p9@CXADR,0.2031",-251.0,+,18884967,18884972,"30,144,255",p9,CXADR,ENSG00000154639,ENSG00000154639.14
chr4,74734715,74734718,"p10@CXCL1,0.1017",-390.0,+,74734715,74734718,"211,211,211",p10,CXCL1,ENSG00000163739,ENSG00000163739.4
chr4,76944678,76944692,"p4@CXCL10,0.3998",0.0,-,76944678,76944692,"60,179,113",p4,CXCL10,ENSG00000169245,ENSG00000169245.4
chr4,76962354,76962384,"p2@CXCL11,0.0919",183.0,-,76962354,76962384,"211,211,211",p2,CXCL11,ENSG00000169248,ENSG00000169248.8
chr10,44880940,44880945,"p3@CXCL12,0.3304",-395.0,-,44880940,44880945,"60,179,113",p3,CXCL12,ENSG00000107562,ENSG00000107562.12
chr4,78526756,78526769,"p4@CXCL13,0.1273",-216.0,+,78526756,78526769,"211,211,211",p4,CXCL13,ENSG00000156234,ENSG00000156234.7
chr5,134909559,134909563,"p4@CXCL14,0.1094",-69.0,-,134909559,134909563,"211,211,211",p4,CXCL14,ENSG00000145824,ENSG00000145824.8
chr17,4643317,4643359,"p15@CXCL16,0.3967",-94.0,-,4643317,4643359,"60,179,113",p15,CXCL16,ENSG00000161921,ENSG00000161921.10
chr19,42947264,42947265,"p5@CXCL17,0.1914",-128.0,-,42947264,42947265,"30,144,255",p5,CXCL17,ENSG00000189377,ENSG00000189377.4
chr4,74965218,74965221,"p10@CXCL2,0.1658",-208.0,-,74965218,74965221,"30,144,255",p10,CXCL2,ENSG00000081041,ENSG00000081041.8
chr4,74904047,74904079,"p3@CXCL3,0.2481",326.0,-,74904047,74904079,"60,179,113",p3,CXCL3,ENSG00000163734,ENSG00000163734.4
chr4,74862475,74862482,"p10@CXCL5,0.1711",-20.0,-,74862475,74862482,"30,144,255",p10,CXCL5,ENSG00000163735,ENSG00000163735.6
chr4,74702060,74702071,"p9@CXCL6,0.1426",-142.0,+,74702060,74702071,"30,144,255",p9,CXCL6,ENSG00000124875,ENSG00000124875.5
chr4,76928654,76928668,"p1@CXCL9,0.0859",-13.0,-,76928654,76928668,"211,211,211",p1,CXCL9,ENSG00000138755,ENSG00000138755.5
chr2,219031709,219031720,"p2@CXCR1,0.2963",0.0,-,219031709,219031720,"60,179,113",p2,CXCR1,ENSG00000163464,ENSG00000163464.7
chr2,218990478,218990479,"p18@CXCR2,0.5676",50.0,+,218990478,218990479,"60,179,113",p18,CXCR2,ENSG00000180871,ENSG00000180871.3
chr2,218926021,218926022,"p8@CXCR2P1,0.2357",-8.0,-,218926021,218926022,"60,179,113",p8,CXCR2P1,ENSG00000229754,ENSG00000229754.1
chrX,70838574,70838578,"p7@CXCR3,0.1003",-207.0,-,70838574,70838578,"211,211,211",p7,CXCR3,ENSG00000186810,ENSG00000186810.7
chr2,136873799,136873802,"p18@CXCR4,0.3070",10.0,-,136873799,136873802,"60,179,113",p18,CXCR4,ENSG00000121966,ENSG00000121966.6
chr11,118764579,118764585,"p10@CXCR5,0.1114",478.0,+,118764579,118764585,"211,211,211",p10,CXCR5,ENSG00000160683,ENSG00000160683.4
chr3,45982491,45982499,"p7@CXCR6,0.3426",66.0,+,45982491,45982499,"60,179,113",p7,CXCR6,ENSG00000172215,ENSG00000172215.5
chr18,47814305,47814313,"p9@CXXC1,0.2582",360.0,-,47814305,47814313,"60,179,113",p9,CXXC1,ENSG00000154832,ENSG00000154832.10
chr2,242811874,242811904,"p1@CXXC11,0.2027",0.0,+,242811874,242811904,"30,144,255",p1,CXXC11,ENSG00000188011,ENSG00000188011.5
chrX,47566716,47566723,"p1@CXXC1P1,0.1213",126.0,+,47566716,47566723,"211,211,211",p1,CXXC1P1,ENSG00000187893,ENSG00000187893.6
chr4,105412104,105412115,"p13@CXXC4,0.1933",351.0,-,105412104,105412115,"30,144,255",p13,CXXC4,ENSG00000168772,ENSG00000168772.9
chr5,139054714,139054717,"p35@CXXC5,0.1783",-303.0,+,139054714,139054717,"30,144,255",p35,CXXC5,ENSG00000171604,ENSG00000171604.7
chrX,30590203,30590215,"p6@CXorf21,0.0892",-388.0,-,30590203,30590215,"211,211,211",p6,CXorf21,ENSG00000120280,ENSG00000120280.5
chrX,35937830,35937837,"p3@CXorf22,0.4350",-13.0,+,35937830,35937837,"60,179,113",p3,CXorf22,ENSG00000165164,ENSG00000165164.8
chrX,19983445,19983475,"p1@CXorf23,0.1087",-32.0,-,19983445,19983475,"211,211,211",p1,CXorf23,ENSG00000173681,ENSG00000173681.12
chrX,47342772,47342776,"p2@CXorf24,0.2959",-193.0,+,47342772,47342776,"60,179,113",p2,CXorf24,ENSG00000196741,ENSG00000196741.3
chrX,37850026,37850037,"p1@CXorf27,0.1147",-32.0,+,37850026,37850037,"211,211,211",p1,CXorf27,ENSG00000187516,ENSG00000187516.5
chrX,3189813,3189815,"p10@CXorf28,0.4967",-45.0,+,3189813,3189815,"60,179,113",p10,CXorf28,ENSG00000228459,ENSG00000228459.2
chrX,45010853,45010854,"p20@CXorf36,0.1546",70.0,-,45010853,45010854,"30,144,255",p20,CXorf36,ENSG00000147113,ENSG00000147113.12
chrX,40506382,40506388,"p4@CXorf38,0.3111",417.0,-,40506382,40506388,"60,179,113",p4,CXorf38,ENSG00000185753,ENSG00000185753.8
chrX,148627001,148627020,"p14@CXorf40A,0.1714",-3.0,+,148627001,148627020,"30,144,255",p14,CXorf40A,ENSG00000197620,ENSG00000197620.6
